,country_code,region_id,region_level,region_name,support_below_18
276,US,746,PROVINCE,"Biloxi-Gulfport,DMA®",True
277,US,582,PROVINCE,"Lafayette, IN,DMA®",True
278,JP,1849872,PROVINCE,Toyama,True
279,ES,3336897,PROVINCE,La Rioja,True
280,US,507,PROVINCE,"Savannah,DMA®",True
281,US,635,PROVINCE,"Austin,DMA®",True
282,PL,3337500,PROVINCE,Kuyavian Pomeranian,True
283,US,650,PROVINCE,"Oklahoma City,DMA®",True
284,MX,3527115,PROVINCE,Hidalgo,True
285,RO,662893,PROVINCE,Valcea,True
286,NL,2751596,PROVINCE,Limburg,True
287,CA,5909050,PROVINCE,British Columbia,True
288,FI,830690,PROVINCE,Northern Savonia,True
289,AR,3838231,PROVINCE,Salta,True
290,US,613,PROVINCE,"Minneapolis-St. Paul,DMA®",True
291,US,702,PROVINCE,"La Crosse-Eau Claire,DMA®",True
292,JP,1857352,PROVINCE,Mie,True
293,TR,307513,PROVINCE,Kirsehir,True
294,US,839,PROVINCE,"Las Vegas,DMA®",True
295,RO,667267,PROVINCE,Sibiu,True
296,JP,1858419,PROVINCE,Kumamoto,True
297,US,544,PROVINCE,"Norfolk-Portsmouth-Newport News,DMA®",True
298,FR,2985244,PROVINCE,Provence Alpes Cote d'Azur,True
299,MA,11281884,PROVINCE,Guelmim-Oued Noun,True
300,FI,831040,PROVINCE,Paijat Hame,True
301,FI,52300009,PROVINCE,South Ostrobothnia,True
302,EG,361323,PROVINCE,Faiyum,True
303,AT,2774686,PROVINCE,Carinthia,True
304,TR,312394,PROVINCE,Hatay,True
305,TR,321079,PROVINCE,Bingol,True
306,IE,2965534,PROVINCE,Cavan,True
307,JP,1859133,PROVINCE,Kochi,True
308,TR,300617,PROVINCE,Sivas,True
309,IT,3164857,PROVINCE,Aosta Valley,True
310,US,569,PROVINCE,"Harrisonburg,DMA®",True
311,CH,2658372,PROVINCE,Thurgau,True
312,KR,1846265,PROVINCE,Jeju,True
