iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso2
BLR;200265.0;189549.0;312983.0;294768.0;607431.0;579220.0;724383.0;720402.0;588671.0;655097.0;1089783.0;1748101.0;0.9464908995580856;0.9418019509046818;0.9535568648949428;0.9945042884772282;1.1128406189535411;1.6040817300324928;3523516.0;4187137.0;7710653.0;1.188340566638551;BY
BLZ;15746.0;15183.0;28559.0;27557.0;37735.0;36288.0;28292.0;28312.0;20105.0;20743.0;22613.0;23497.0;0.9642448875904992;0.9649147379109912;0.9616536372068372;1.0007069136151563;1.031733399651828;1.039092557378499;153050.0;151580.0;304630.0;0.9903952956550148;BZ
BMU;1411.0;1279.0;2400.0;2348.0;3364.0;3478.0;4391.0;4467.0;5054.0;4589.0;10797.999999999998;12775.0;0.9064493267186392;0.9783333333333334;1.033888228299643;1.0173081302664542;0.90799366838148;1.1830894610112983;27418.0;28936.0;56354.0;1.055365088627909;BM
BOL;480521.0;465927.0;795316.0;776535.0;1028508.0;1012720.0;790147.0;778660.0000000001;572292.0;571543.0;673131.0;766452.0;0.969628798741366;0.9763854870265404;0.9846496089481076;0.9854621988060452;0.9986912275551642;1.1386372043480393;4339915.0;4371837.0;8711752.0;1.0073554435973977;BO
BRA;6087285.0;5859136.0;11326824.999999998;11016907.0;16361755.0;16257194.0;16394180.0;16722439.0;13233380.0;13913636.0;20236398.0;23930149.000000004;0.9625204011312104;0.9726385814206542;0.99360942637266;1.0200228983700312;1.0514045542408668;1.182530062909417;83639823.0;87699461.0;171339284.0;1.048537142408826;BR
BRB;7424.0;7184.0;13286.0;12881.999999999998;18166.0;18471.0;18082.0;19167.0;18337.0;20065.0;36746.0;46618.0;0.9676724137931034;0.9695920517838325;1.0167896069580535;1.0600044242893485;1.0942356983148824;1.2686550917106625;112041.0;124387.0;236428.0;1.110191804785748;BB
BRN;13160.0;12099.0;26929.000000000004;23938.000000000004;46467.0;36412.0;43435.0;34085.0;32260.0;29025.0;33823.0;35114.0;0.9193768996960486;0.8889301496527907;0.78360987367379;0.7847358121330724;0.8997210167389956;1.0381692930845874;196074.0;170673.0;366747.0;0.870451972214572;BN
BTN;28064.0;25898.0;52898.00000000001;48623.0;88963.0;70682.0;70875.0;57122.0;44150.0;36271.0;52747.000000000015;49945.0;0.9228192702394526;0.9191840901357328;0.7945100772231152;0.8059541446208113;0.8215402038505096;0.9468784954594572;337697.0;288541.0;626238.0;0.8544375579291495;BT
BWA;99122.0;97946.0;173936.0;173355.0;235411.0;232507.0;149892.0;145705.0;93002.0;96882.0;99769.0;114981.0;0.9881358326103186;0.9966596909207984;0.9876641278444932;0.9720665545859686;1.041719532913271;1.152472210806964;851132.0;861376.0;1712508.0;1.0120357359375514;BW
CAF;262652.0;264003.0;357818.0;391017.0;275999.0;339558.0;132637.0;183363.0;90743.0;129144.0;113876.0;164635.0;1.005143688226246;1.0927818052753075;1.2302870662574863;1.3824423049375365;1.4231841574556716;1.4457392251220629;1233725.0;1471720.0;2705445.0;1.1929076577032969;CF
CAN;859220.0;831215.0;1703576.0;1613701.9999999998;2835886.0000000005;2672610.0;2670837.0;2663180.0;2410107.0;2455588.0;6051738.999999999;6693472.0;0.9674064849514676;0.9472439151525964;0.942425048115474;0.9971331084600072;1.0188709463936665;1.1060410900073518;16531365.0;16929767.0;33461132.0;1.0240997642965357;CA
CHE;177272.0;167176.0;326618.0;305761.0;595620.0;575215.0;634837.0;622734.0;621721.0;617258.0;1396824.0000000002;1559442.0;0.9430479714788572;0.9361425273561164;0.9657415802021424;0.9809352636976104;0.9928215389217994;1.1164198209652754;3752892.0;3847586.0;7600478.0;1.0252322742034676;CH
