iso2;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;iso3;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;age_13_17_women_pen;age_13_17_men_pen;age_18_24_women_pen;age_18_24_men_pen;age_25_34_women_pen;age_25_34_men_pen;age_35_44_women_pen;age_35_44_men_pen;age_45_54_women_pen;age_45_54_men_pen;age_55_100_women_pen;age_55_100_men_pen;total_men_pen;total_women_pen;total_all_pen
CA;500.0;500.0;2172500.0;1887500.0;3242500.0;3915000.0;1138500.0;1264000.0;698500.0;761500.0;630500.0;638500.0;1.0;1.1509933774834438;0.8282247765006385;0.9007120253164557;0.917268548916612;0.9874706342991386;8467000.0;7883000.0;16350000.0;0.931026337545766;CAN;1.0336916441594532;1.215097145594252;0.8788229665126189;0.9033016932990358;0.9002794241638943;0.892797422465177;0.9091168360782675;0.0006015290869389989;0.0005819231395917228;1.346283266675012;1.1079634838715737;1.213233505823895;1.3805209377245768;0.4274964516104807;0.47325988070406394;0.2844532551877595;0.3159610755871005;0.09419625569510114;0.10550686339909902;0.5121779115033755;0.4656295624151236;0.48862662506456744
CH;500.0;500.0;294500.0;255000.0;376500.0;313000.0;198000.0;183500.0;177000.0;160500.0;102000.0;89500.0;1.0;1.1549019607843136;1.2028753993610224;1.0790190735694822;1.102803738317757;1.1396648044692737;1002000.0;1148500.0;2150500.0;1.1462075848303392;CHE;1.0603914437479065;1.2336817600264616;1.2455458313281331;1.0999900946594043;1.1107774107272066;1.0208210057430729;1.1179979538986526;0.0029908599320476624;0.002820524391894941;0.9631705809439399;0.7807285575197938;0.6545378684491886;0.5255028373795373;0.3179527695613215;0.2890505751870165;0.28675205505639456;0.25815438114524036;0.06540801132712855;0.06407392771029134;0.26699409415458797;0.2984988509678536;0.2829427307072003
CR;500.0;500.0;457500.0;432000.0;765000.0;963000.0;299500.0;374000.0;178500.0;195000.0;181500.0;171500.0;1.0;1.0590277777777777;0.794392523364486;0.8008021390374331;0.9153846153846154;1.0583090379008746;2136000.0;1882500.0;4018500.0;0.8813202247191011;CRI;1.0437585162488263;1.102860740375582;0.8169023842758354;0.7964185282793527;0.8518349086766515;0.9153520576353323;0.8487930789869029;0.0035300513269462936;0.0033820575085058745;1.755106111989197;1.5914122678729965;1.8979945764494848;2.3234043785194873;0.7715154934221542;0.9687312211193767;0.5588866102039858;0.6560973311979328;0.2972276764001225;0.32471405282898835;1.044388976220104;0.8864701347858416;0.9639450720422107
CZ;500.0;500.0;434000.0;305000.0;364000.0;287500.0;160500.0;130500.0;126000.0;107000.0;75000.0;64000.0;1.0;1.4229508196721312;1.2660869565217392;1.2298850574712643;1.1775700934579438;1.171875;894500.0;1160000.0;2054500.0;1.2968138624930128;CZE;1.0449965772059469;1.4859511840418576;1.346016384308388;1.3182329738217973;1.2369155518859807;0.9586781815609606;1.2454259378738501;0.0021940987519966297;0.0020996229077257724;1.1748050337959466;0.7906080942715907;0.5679752462656408;0.4219675576664534;0.2143529678871208;0.16260628594782645;0.15538501570498553;0.1256229784386355;0.039152693940259255;0.04084028894504429;0.1976081133981173;0.24610626996033233;0.2223473538608624
DE;500.0;500.0;3096000.0;2915500.0;3748500.0;3351500.0;2415000.0;2153500.0;1652000.0;1437500.0;1319500.0;1098500.0;1.0;1.0619104784771052;1.1184544233925109;1.12143022985837;1.1492173913043475;1.2011834319526626;10957000.0;12231500.0;23188500.0;1.1163183353107602;DEU;1.0602212409990475;1.151161538590934;1.2073889433748148;1.155109599852386;1.1577785523413173;1.042688172291461;1.0757730864296553;0.00033752517093962284;0.0003183535264975191;1.0923066121595317;0.9488734426417313;0.7485886452971918;0.620006212086708;0.45528661282030547;0.39415014201118886;0.30277687818344134;0.2615153628223211;0.07624305650815237;0.07312162785983946;0.30408961821058594;0.32713142713361754;0.31582361503407846
DK;500.0;500.0;308000.0;239500.0;250500.0;194000.0;100500.0;85000.0;75000.0;60500.0;40500.0;34000.0;1.0;1.2860125260960331;1.291237113402062;1.1823529411764706;1.2396694214876034;1.1911764705882353;613500.0;775000.0;1388500.0;1.263243683781581;DNK;1.0483964799882175;1.3347471003457128;1.3423990608335594;1.203376092570546;1.2380902696572051;1.0822945440646126;1.2345719081879092;0.0036820206929562946;0.003512049843011372;1.2190005778379362;0.9132820573441987;0.6347798542920494;0.47286970977012194;0.2933784055978351;0.24379610614595643;0.19379043760464684;0.15652367388227867;0.03880365923297141;0.035853141315156496;0.24556138294086874;0.30316318511457024;0.2746928820812798
DO;500.0;500.0;1051000.0;1189000.0;1434000.0;2045000.0;475000.0;676000.0;242500.0;317000.0;247500.0;278500.0;1.0;0.8839360807401178;0.7012224938875306;0.7026627218934911;0.7649842271293376;0.8886894075403949;4506000.0;3450500.0;7956500.0;0.7657567687527741;DOM;1.0427584398557852;0.9164210719163747;0.7149549459933713;0.7015124420385688;0.7386773175999961;0.7492946220218959;0.7449930109842822;0.0013110455588331695;0.0012572859722089508;1.5770314596018857;1.7208590111356512;1.6024459090695757;2.2413243212732916;0.6368461768448093;0.9078187907746272;0.39343698437446767;0.5326236165647625;0.25581659758757197;0.34140989414454453;1.0840676933632971;0.8076228549895083;0.9439455440763784
DZ;500.0;500.0;2970500.0;3550500.0;4216000.0;7072000.0;1176500.0;2327500.0;505000.0;919500.0;540500.0;739000.0;1.0;0.8366427263765667;0.5961538461538461;0.5054779806659506;0.5492115280043501;0.7313937753721245;14609000.0;9409000.0;24018000.0;0.6440550345677322;DZA;1.0463214023378344;0.8676247048816811;0.6365827674591609;0.5346733080624291;0.5759646638698133;0.7250667288965748;0.6707757576919605;0.00034878472936746496;0.0003333437781050473;1.490596022635181;1.718019339754111;1.2758633942505648;2.00423803387423;0.3387511441669011;0.6335665892776307;0.19881764524317957;0.34519069956020565;0.16948264989964307;0.2337476581742568;0.8803773359091205;0.5905357745492701;0.7384017159892655
EG;1500.0;1500.0;13464000.0;41168500.0;19889500.0;30160500.0;12236000.0;12730500.0;4242500.0;4058000.0;2993000.0;8606000.0;1.0;0.327046163936019;0.6594552477578289;0.9611562782294488;1.045465746673238;0.3477806181733674;96725000.0;52826500.0;149551500.0;0.5461514603256655;EGY;1.0460764602891843;0.3414632099126977;0.6875431401917318;0.9855675537248677;1.0829102869747549;0.30177261333106137;0.5501735137434348;0.00035799591025472127;0.00034222728820009434;2.0396226698060858;5.973184257031842;2.3445444826907798;3.410032542884462;1.641277787606904;1.6653123181702114;0.7913688657487721;0.7307797102561097;0.42203285031511456;1.3985127598445157;2.450528708694372;1.3482159901915447;1.901394359677957
ES;500.0;500.0;2009500.0;1902000.0;2526000.0;2341500.0;2513500.0;1762500.0;2662500.0;1793000.0;1965000.0;1229500.0;1.0;1.0565194532071505;1.0787956438180653;1.4260992907801415;1.484941438929169;1.5982106547376982;9029000.0;11677000.0;20706000.0;1.293277217853583;ESP;1.0582757966692629;1.122497642301086;1.1059772897410693;1.44586496553279;1.5170010953417266;1.3510947661577128;1.2309346383733155;0.0005044126014373742;0.00047663624456396365;1.2127382476943187;1.0803926903652488;0.965530263793112;0.8730109313719825;0.7480888539671626;0.5173988386194126;0.6875623648116815;0.4532378829013291;0.21787820996141394;0.16126049439227944;0.4409048995624108;0.5427251130998793;0.4930723759809029
