iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
DJI;2000;2000;7509;5025;7766;5017;2608;2012;2000;2000;3000;3000;1.0;0.6692;0.646;0.7715;1.0;1.0;24883;19054;43937;0.7657;17883;12054;0.674;DJ;1.0162;0.6747;0.6434;0.7513;0.9455;0.8639;0.7414;0.6693;0.0431;0.0438;0.095;0.0641;0.0835;0.0537;0.0353;0.0265;0.0352;0.0332;0.0521;0.045;0.0612;0.0454;0.0532;0.0727;0.0487
DNK;2000;2000;271770;299191;334680;395245;192318;268783;167600;251256;193120;362094;1.0;1.1009;1.181;1.3976;1.4991;1.875;1161488;1578569;2740057;1.3591;798768;963219;1.2059;DK;1.0484;1.1426;1.2278;1.4225;1.4972;1.7036;1.3283;1.2441;0.014;0.0147;1.0363;1.1841;0.8158;1.0016;0.5516;0.7846;0.4336;0.6492;0.2036;0.3469;0.4649;0.6175;0.5421;0.7822;0.9731
DMA;2000;2000;3850;4141;4250;4079;2117;2154;2000;2000;3000;3000;1.0;1.0756;0.9598;1.0175;1.0;1.0;17217;17374;34591;1.0091;10217;10374;1.0154;DM;0.941;1.0807;0.9678;1.0636;1.0401;0.975;1.0135;1.036;1.1827;1.113;1.2145;1.3125;0.7856;0.7603;0.4445;0.4727;0.4489;0.467;0.3626;0.3535;0.6201;0.6285;0.6243;0.7657;0.7933
DOM;2000;2062;621833;694613;823725;918230;420035;510371;214308;275931;178021;231688;1.031;1.117;1.1147;1.2151;1.2875;1.3015;2259922;2632895;4892817;1.165;1865593;2123214;1.1381;DO;1.0751;1.158;1.1365;1.2132;1.2432;1.0974;1.1334;1.1583;0.005;0.0054;0.9;1.0423;0.9028;1.0261;0.5641;0.6843;0.3601;0.4477;0.2182;0.2395;0.5437;0.6163;0.5805;0.7946;0.9203
DZA;2429;2417;2327083;2240058;2299425;1791284;1068655;819909;431984;367034;288283;252878;0.9951;0.9626;0.779;0.7672;0.8496;0.8772;6417859;5473580;11891439;0.8529;5695163;4851251;0.8518;DZ;1.0412;0.9982;0.8318;0.8115;0.8909;0.8696;0.8883;0.9002;0.0016;0.0017;1.126;1.1241;0.6517;0.5421;0.2909;0.2361;0.1622;0.1445;0.0912;0.0793;0.3868;0.3435;0.3656;0.6144;0.5531
ECU;2000;2000;974958;1085129;1049227;1132187;534529;659483;269117;364438;213120;312991;1.0;1.113;1.0791;1.2338;1.3542;1.4686;3042951;3556228;6599179;1.1687;2558714;2876799;1.1243;EC;1.0412;1.151;1.0973;1.2293;1.3168;1.2813;1.1457;1.1411;0.0031;0.0032;0.875;1.007;0.6979;0.7657;0.427;0.5248;0.2823;0.3717;0.1623;0.2079;0.4488;0.5141;0.4818;0.6612;0.7545
EST;2000;2000;50933;64862;66340;76845;49581;73438;22771;42838;13280;35142;1.0;1.2735;1.1584;1.4812;1.8813;2.6462;204905;295125;500030;1.4403;166854;215145;1.2894;EE;1.0651;1.3275;1.2616;1.6029;1.9164;1.7319;1.2668;1.3882;0.0633;0.0674;1.0872;1.4433;0.7457;0.9407;0.4825;0.7734;0.2431;0.4659;0.0736;0.1275;0.3765;0.477;0.43;0.6994;0.971
EGY;6938;3271;4283333;3880367;3600906;2900000;1673921;1425375;689579;611662;471188;448513;0.4715;0.9059;0.8054;0.8515;0.887;0.9519;10725865;9269188;19995053;0.8642;9558160;8205742;0.8585;EG;0.4932;0.9458;0.8397;0.8732;0.9188;0.8259;0.8706;0.8906;0.0016;0.0008;0.6215;0.5878;0.4071;0.3418;0.219;0.1912;0.1242;0.1141;0.0766;0.0632;0.2717;0.2366;0.2542;0.4088;0.3641
ESH;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;EH;1.0456;1.1104;1.2835;1.4043;1.5751;1.1701;1.2895;1.292;0.121;0.1265;0.068;0.0755;0.0376;0.0482;0.0309;0.0434;0.0451;0.0711;0.0684;0.0801;0.0516;0.0665;0.0581;0.0407;0.0526
ERI;2000;2000;3862;3067;3521;2683;2000;2000;2000;2000;3000;3000;1.0;0.7941;0.762;1.0;1.0;1.0;16383;14750;31133;0.9003;9383;7750;0.826;ER;1.0137;0.804;0.7665;0.9437;0.8642;0.7807;0.8538;0.8205;0.0116;0.0117;0.0152;0.0122;0.0146;0.0112;0.0135;0.0127;0.0177;0.0153;0.022;0.0172;0.0154;0.0131;0.0142;0.0146;0.012
ESP;2000;2000;2642557;2868719;3152174;3167787;2191400;2721739;1861122;2525200;1584656;2443048;1.0;1.0856;1.005;1.242;1.3568;1.5417;11433909;13728493;25162402;1.2007;7986131;8758245;1.0967;ES;1.0583;1.1534;1.0303;1.2593;1.386;1.3033;1.1429;1.1277;0.0019;0.002;1.5011;1.7313;1.1753;1.2108;0.6433;0.8101;0.4705;0.6521;0.2078;0.2709;0.5583;0.6381;0.5992;1.0175;1.1474
ETH;2417;2000;271229;189300;313059;204700;106688;64029;24387;13142;15908;9913;0.8275;0.6979;0.6539;0.6002;0.5389;0.6231;733688;483084;1216772;0.6584;690976;458029;0.6629;ET;0.8512;0.7097;0.6611;0.5989;0.5038;0.5308;0.6482;0.6695;0.0004;0.0003;0.0296;0.021;0.0315;0.0208;0.0174;0.0104;0.006;0.003;0.0037;0.0019;0.0185;0.012;0.0152;0.0274;0.0183
FIN;2000;2000;239642;280380;289573;338957;205095;275948;148891;213958;148432;276907;1.0;1.17;1.1705;1.3455;1.437;1.8655;1033633;1388150;2421783;1.343;734310;895285;1.2192;FI;1.044;1.2407;1.2473;1.4361;1.4885;1.5968;1.298;1.2985;0.0157;0.0164;1.093;1.3561;0.7877;0.9825;0.5508;0.791;0.4394;0.654;0.1582;0.2526;0.4373;0.5675;0.5035;0.7655;0.9941
FJI;2000;2000;50096;56800;35759;41280;15662;20442;6753;8925;4434;5284;1.0;1.1338;1.1544;1.3052;1.3216;1.1917;114704;134731;249435;1.1746;101517;118522;1.1675;FJ;0.9838;1.1187;1.1593;1.3085;1.3345;1.0245;1.1386;1.1661;0.0611;0.0601;0.9632;1.0775;0.4884;0.5662;0.2344;0.3067;0.1384;0.1848;0.0699;0.0716;0.3404;0.3875;0.3643;0.5286;0.6165
FLK;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;FK;0.8442;0.946;0.8975;1.062;1.1126;0.9;0.974;0.9777;30.7692;25.974;19.0476;18.018;9.1324;8.1967;6.8729;7.2993;5.7803;6.4309;6.9444;6.25;8.9163;8.684;8.7986;9.7561;9.539
FSM;2000;2000;2375;3450;2000;2012;2000;2000;2000;2000;3000;3000;1.0;1.4526;1.006;1.0;1.0;1.0;13375;14462;27837;1.0813;6375;7462;1.1705;FM;0.9938;1.4803;1.0499;0.9965;0.903;0.7919;1.0362;1.1974;0.4247;0.4221;0.2988;0.4424;0.2173;0.2281;0.3517;0.3504;0.4429;0.3999;0.4713;0.3732;0.348;0.3606;0.3545;0.2791;0.3342
FRO;2000;2000;2904;3238;3125;3277;2179;2733;2000;2158;3000;3246;1.0;1.115;1.0486;1.2542;1.079;1.082;15208;16652;31860;1.095;8208;9248;1.1267;FO;1.0294;1.2701;1.209;1.395;1.2389;1.0818;1.1798;1.278;1.2979;1.336;1.0979;1.3945;0.882;1.0664;0.6298;0.8785;0.5612;0.6952;0.37;0.4002;0.6652;0.7848;0.7228;0.8507;1.0872
FRA;2000;2000;3387534;3590596;4025000;4191667;2333096;2929166;1537429;2136351;1427471;2184513;1.0;1.0599;1.0414;1.2555;1.3896;1.5303;12712530;15034293;27746823;1.1826;9745630;10711429;1.0991;FR;1.0535;1.1153;1.0385;1.2071;1.355;1.2559;1.0898;1.0964;0.0012;0.0012;1.1687;1.3036;1.0585;1.0993;0.5851;0.7062;0.3649;0.4944;0.1393;0.1749;0.4737;0.5162;0.4958;0.9118;0.9997
GAB;2000;2000;30601;25863;27754;22525;13113;9312;4883;2847;5454;5108;1.0;0.8452;0.8116;0.7101;0.583;0.9366;83805;67655;151460;0.8073;71468;57700;0.8074;GA;1.0032;0.8512;0.864;0.7968;0.6428;0.8841;0.8438;0.8605;0.0212;0.0212;0.2141;0.1822;0.1413;0.122;0.077;0.0613;0.045;0.0289;0.0508;0.045;0.1022;0.0862;0.0944;0.1402;0.1206
GBR;5100;2262;3475038;4010654;4641667;5204167;3077717;3879167;1908146;2566666;1857571;2910975;0.4435;1.1541;1.1212;1.2604;1.3451;1.5671;14965239;18573891;33539130;1.2411;11194422;13093988;1.1697;GB;0.4663;1.2223;1.1549;1.2374;1.2966;1.3664;1.1841;1.1908;0.0031;0.0014;1.2154;1.4857;1.0058;1.1616;0.6906;0.8545;0.4411;0.5719;0.1849;0.2526;0.535;0.6335;0.5854;0.9383;1.1173
GRD;2000;2000;7922;8371;8698;8683;4266;5008;2000;2062;3000;3000;1.0;1.0567;0.9983;1.1739;1.031;1.0;27886;29124;57010;1.0444;20886;22062;1.0563;GD;1.0435;1.1011;1.0345;1.1848;1.102;0.9138;1.0457;1.0857;0.5675;0.5922;1.2968;1.4278;0.861;0.8907;0.4733;0.5608;0.3143;0.3463;0.2386;0.2181;0.5848;0.6115;0.5981;0.828;0.899
GEO;2000;2000;235225;275175;276066;308183;142342;209858;62438;115655;43948;102186;1.0;1.1698;1.1163;1.4743;1.8523;2.3252;762019;1013057;1775076;1.3294;653633;793216;1.2135;GE;1.0554;1.2437;1.1022;1.3722;1.5885;1.4677;1.1042;1.1896;0.0211;0.0223;1.5349;1.909;1.0808;1.1913;0.5509;0.7559;0.2898;0.4603;0.1077;0.1581;0.5501;0.6074;0.5814;0.9799;1.1657
GUF;2000;2000;14962;15479;13183;14430;7001;8838;3696;4826;3471;3835;1.0;1.0346;1.0946;1.2624;1.3057;1.1049;44313;49408;93721;1.115;35146;38747;1.1025;GF;1.0142;0.9761;0.9161;1.073;1.1483;1.0225;1.0029;0.9612;0.1629;0.1652;0.9294;0.9071;0.7236;0.663;0.3884;0.4168;0.2492;0.2861;0.162;0.1657;0.4393;0.4405;0.4399;0.6715;0.6454
GGY;2000;2000;2696;2762;3092;3479;2325;2787;2000;2300;3000;3075;1.0;1.0245;1.1252;1.1987;1.15;1.025;15113;16403;31516;1.0854;8113;9028;1.1128;GG;1.1156;1.0674;1.1759;1.2516;1.0854;0.9163;1.0488;1.1617;1.4588;1.6273;1.0845;1.1576;0.7661;0.9008;0.5584;0.6988;0.4616;0.501;0.2769;0.2538;0.5552;0.5822;0.5689;0.7592;0.882
GHA;2000;2000;475854;302692;480091;389883;183630;144221;54798;38971;67801;45867;1.0;0.6361;0.8121;0.7854;0.7112;0.6765;1264174;923634;2187808;0.7306;1139575;836796;0.7343;GH;1.0176;0.6455;0.8182;0.7828;0.6883;0.5928;0.7193;0.7391;0.0014;0.0014;0.2189;0.1413;0.1885;0.1543;0.09;0.0704;0.0403;0.0278;0.049;0.029;0.1157;0.0832;0.0994;0.1685;0.1246
GIB;2000;2000;2139;2257;2413;2552;2000;2226;2000;2000;3000;3000;1.0;1.0552;1.0576;1.113;1.0;1.0;13552;14035;27587;1.0356;6552;7035;1.0737;GI;1.0318;1.1038;1.0756;1.1241;0.9897;0.9108;1.0108;1.0965;2.1209;2.1882;1.2717;1.4036;0.9587;1.0311;0.7648;0.8598;0.8003;0.7921;0.5565;0.5068;0.8661;0.8755;0.8709;0.9615;1.0544
GRL;2000;2000;2938;2658;3423;3121;2361;2200;2000;2000;3000;3000;1.0;0.9047;0.9118;0.9318;1.0;1.0;15722;14979;30701;0.9527;8722;7979;0.9148;GL;1.0593;0.9505;0.9562;1.0483;1.228;1.1827;1.0739;0.9836;1.3831;1.4652;1.1339;1.0779;0.728;0.696;0.5857;0.614;0.5759;0.7072;0.3932;0.465;0.6586;0.7073;0.6815;0.7702;0.7575
GMB;2000;2000;57478;26209;38554;19402;12431;5507;3426;2000;3526;3000;1.0;0.456;0.5032;0.443;0.5838;0.8508;117415;58118;175533;0.495;108463;51118;0.4713;GM;1.0173;0.4619;0.5016;0.4366;0.5449;0.7121;0.4819;0.4711;0.0162;0.0165;0.318;0.1469;0.1901;0.0954;0.098;0.0428;0.0418;0.0228;0.0381;0.0272;0.1453;0.07;0.1071;0.2125;0.1001
GIN;2000;2000;45850;20375;57179;24516;20508;6679;4938;2000;3996;3000;1.0;0.4444;0.4288;0.3257;0.405;0.7508;134471;58570;193041;0.4356;123537;51570;0.4174;GN;1.0262;0.4545;0.4281;0.2961;0.3362;0.5799;0.4117;0.4109;0.0031;0.0031;0.0466;0.0212;0.0524;0.0224;0.0326;0.0097;0.0127;0.0043;0.0085;0.0049;0.0319;0.0131;0.0223;0.0457;0.0188
GLP;2000;2000;18365;19833;21659;24515;13083;18661;9056;13553;10239;13789;1.0;1.0799;1.1319;1.4264;1.4966;1.3467;74402;92351;166753;1.2412;53107;63009;1.1865;GP;1.0757;1.1292;0.891;0.969;1.0991;1.0562;0.991;0.9563;0.193;0.2076;1.2911;1.458;1.4277;1.2721;0.841;0.8149;0.4065;0.4467;0.1592;0.1682;0.5243;0.5196;0.5217;1.1814;1.1297
GNQ;2000;2000;16087;11008;11333;7217;5304;3104;2075;2000;3000;3000;1.0;0.6843;0.6368;0.5852;0.9639;1.0;39799;28329;68128;0.7118;32724;21329;0.6518;GQ;1.0141;0.7479;0.7585;0.8111;1.3027;1.0154;0.8391;0.7962;0.0276;0.028;0.1525;0.114;0.0749;0.0568;0.0386;0.0313;0.0236;0.0307;0.0364;0.037;0.0625;0.0524;0.0579;0.083;0.0661
GRC;2000;2000;449719;481629;628138;583354;442850;507842;347292;434317;283746;366188;1.0;1.071;0.9287;1.1468;1.2506;1.2905;2153745;2375330;4529075;1.1029;1520707;1572825;1.0343;GR;1.0652;1.1819;0.988;1.1446;1.1933;1.0443;1.0183;1.0794;0.009;0.0096;1.1691;1.3818;1.1291;1.1156;0.6433;0.7363;0.4512;0.5384;0.1651;0.1724;0.4963;0.5054;0.5011;0.9333;1.0074
SGS;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;GS;;;;;;;;;;;;;;;;;;;;;;;;;
GTM;2000;2000;691705;736750;598701;604383;248425;289963;105646;129782;72966;91908;1.0;1.0651;1.0095;1.1672;1.2285;1.2596;1719443;1854786;3574229;1.0787;1538831;1631096;1.06;GT;1.0238;1.0858;1.0161;1.1394;1.0977;1.0291;1.0404;1.0623;0.0026;0.0027;0.5306;0.5762;0.3818;0.3879;0.2296;0.2616;0.1632;0.1791;0.0929;0.0957;0.2794;0.2907;0.2852;0.3892;0.4134
GUM;2000;2000;11632;15141;13285;14546;7558;8912;4342;5863;4033;5898;1.0;1.3017;1.0949;1.1791;1.3503;1.4624;42850;52360;95210;1.2219;32475;38599;1.1886;GU;1.0445;1.4166;1.2269;1.2245;1.3398;1.3632;1.2435;1.2886;0.4059;0.424;1.3654;1.9342;1.1219;1.3764;0.793;0.9711;0.4455;0.5969;0.217;0.2959;0.6786;0.8439;0.7605;1.0864;1.3999
GNB;2000;2000;12054;6646;10507;5505;3658;2175;2000;2000;3000;3000;1.0;0.5514;0.5239;0.5946;1.0;1.0;33219;21326;54545;0.642;26219;14326;0.5464;GW;1.0169;0.557;0.5224;0.5819;0.893;0.692;0.6085;0.5444;0.0206;0.0209;0.0832;0.0463;0.0654;0.0342;0.0317;0.0184;0.0279;0.0249;0.0489;0.0338;0.051;0.031;0.0407;0.0623;0.0339
GUY;2000;2000;28496;34883;29048;35904;11731;15704;5106;7273;3786;4871;1.0;1.2241;1.236;1.3387;1.4244;1.2866;80167;100635;180802;1.2553;69275;86491;1.2485;GY;1.0339;1.2563;1.164;1.1837;1.2718;1.0495;1.1562;1.1867;0.0675;0.0698;0.5412;0.68;0.4435;0.5162;0.268;0.3172;0.1246;0.1584;0.0704;0.0739;0.28;0.3238;0.3028;0.4278;0.5077
HKG;2000;2000;278611;423050;541479;684542;397434;519588;199963;232008;164891;191842;1.0;1.5184;1.2642;1.3074;1.1603;1.1634;1584378;2053030;3637408;1.2958;1217524;1627180;1.3365;HK;1.0269;1.5016;1.049;0.8417;0.8003;1.0137;1.0369;1.0168;0.0171;0.0176;1.3753;2.0652;1.2381;1.2987;0.8692;0.7316;0.4274;0.342;0.127;0.1287;0.5316;0.5512;0.5425;1.1097;1.1283
HND;2000;2000;356601;424400;304162;377737;130200;187096;55029;88421;39971;63712;1.0;1.1901;1.2419;1.437;1.6068;1.594;887963;1143366;2031329;1.2876;790963;989233;1.2507;HN;1.0485;1.2419;1.282;1.4604;1.5639;1.3667;1.2882;1.2895;0.0046;0.0048;0.4736;0.5881;0.33;0.423;0.1843;0.2692;0.1201;0.1878;0.0861;0.1177;0.2375;0.306;0.2717;0.3322;0.4283
HRV;2000;2000;159475;190121;237637;237204;132517;165358;80279;114258;62174;88317;1.0;1.1922;0.9982;1.2478;1.4233;1.4205;674082;797258;1471340;1.1827;529629;592683;1.1191;HR;1.0554;1.2633;1.0536;1.2871;1.4169;1.0989;1.0795;1.1707;0.0237;0.025;1.1135;1.4066;1.0711;1.1286;0.4963;0.6388;0.3016;0.4273;0.098;0.1077;0.4168;0.45;0.4341;0.8379;0.9809
HTI;2000;2008;146346;96863;100366;78358;34525;26834;11930;8852;11542;7726;1.004;0.6619;0.7807;0.7772;0.742;0.6694;306709;220641;527350;0.7194;281237;202055;0.7185;HT;1.0159;0.6644;0.7759;0.7652;0.7148;0.5564;0.6952;0.7143;0.0042;0.0043;0.1893;0.1257;0.1032;0.0801;0.0471;0.036;0.0238;0.017;0.0212;0.0118;0.0767;0.0533;0.0648;0.1135;0.081
HUN;2000;2000;350358;389854;441558;451463;227355;271700;168558;238754;102592;172088;1.0;1.1127;1.0224;1.195;1.4165;1.6774;1292421;1525859;2818280;1.1806;1019271;1113017;1.092;HU;1.0537;1.1767;1.0931;1.2403;1.4291;1.1942;1.0658;1.1507;0.0097;0.0102;0.9755;1.148;0.6963;0.7611;0.3325;0.4124;0.2166;0.3095;0.0782;0.0933;0.3252;0.3466;0.3364;0.6078;0.6993
IDN;2695;2859;11787320;15204908;17654166;18550000;7166667;7737500;2878279;3278388;1774171;1808012;1.0609;1.2899;1.0507;1.0797;1.139;1.0191;41263298;46581667;87844965;1.1289;36608153;41492408;1.1334;ID;1.1172;1.3565;1.1008;1.1161;1.1397;0.8775;1.1246;1.183;0.0003;0.0003;0.7446;1.0101;0.8044;0.8856;0.3407;0.3803;0.1621;0.1847;0.0852;0.0747;0.3855;0.4336;0.4096;0.6225;0.7364
IRL;2000;2000;264979;320233;337183;373250;231054;338257;150155;239652;115663;209999;1.0;1.2085;1.107;1.464;1.596;1.8156;1101034;1483391;2584425;1.3473;833216;1031740;1.2383;IE;1.0506;1.2497;1.115;1.3658;1.5684;1.6744;1.3024;1.216;0.0139;0.0146;1.1256;1.4068;1.0846;1.2093;0.618;0.844;0.4173;0.6545;0.1746;0.2924;0.5277;0.6872;0.6088;0.9055;1.1011
ISR;2000;2000;521575;593038;709136;719359;384077;474614;243414;345527;240443;365224;1.0;1.137;1.0144;1.2357;1.4195;1.519;2100645;2499762;4600407;1.19;1614788;1787011;1.1067;IL;1.0501;1.1871;1.0436;1.2289;1.3892;1.3017;1.1532;1.1304;0.0066;0.0069;1.0516;1.2484;1.1423;1.1922;0.6834;0.8399;0.4964;0.6897;0.2755;0.3586;0.6279;0.7241;0.6768;0.9619;1.0873
IMN;2000;2000;3554;3833;3865;4335;2826;3773;2161;2965;3000;3509;1.0;1.0785;1.1216;1.3351;1.372;1.1697;17406;20415;37821;1.1729;10245;11941;1.1655;IM;1.1212;1.1955;1.112;1.2678;1.3383;1.0925;1.141;1.1669;1.0341;1.1594;1.0979;1.3127;0.8549;0.9507;0.5708;0.7236;0.3605;0.4824;0.1968;0.215;0.4851;0.5535;0.5198;0.8061;0.9407
IND;70983;24367;118483399;50745833;108626993;43126087;38762500;15483333;12354166;6350000;7912500;4207100;0.3433;0.4283;0.397;0.3994;0.514;0.5317;286210541;119936720;406147261;0.4191;265872892;109355253;0.4113;IN;0.3777;0.4723;0.4336;0.4306;0.5374;0.5107;0.4437;0.4485;0.0013;0.0005;1.2445;0.5878;0.8651;0.3751;0.3647;0.157;0.1548;0.0832;0.0768;0.0392;0.5082;0.2255;0.3708;0.8129;0.3646
IOT;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;IO;;;;;;;;;;;;;;;;;;;;;;;;;
IRQ;2575;5133;3943022;2972510;4410145;2665178;1755056;927893;731143;430366;412944;281495;1.9934;0.7539;0.6043;0.5287;0.5886;0.6817;11254885;7282575;18537460;0.6471;10108223;6565581;0.6495;IQ;2.0906;0.786;0.619;0.5254;0.5631;0.5292;0.6359;0.6636;0.0013;0.0027;1.3038;1.0248;1.2579;0.7787;0.7063;0.3711;0.4073;0.2293;0.2627;0.139;0.7849;0.4991;0.6407;1.1212;0.7441
ISL;2000;2000;18811;20796;27737;29079;19524;22208;13596;17779;15009;26166;1.0;1.1055;1.0484;1.1375;1.3077;1.7434;96677;118028;214705;1.2208;66072;72083;1.091;IS;1.0555;1.1301;1.1773;1.2865;1.4034;1.6765;1.2794;1.2017;0.2012;0.2124;1.0563;1.1938;0.8332;0.981;0.6861;0.8826;0.5681;0.7972;0.3003;0.5035;0.5916;0.757;0.6724;0.8305;0.998
ITA;2000;2000;2850089;3169821;3589855;3316667;2399884;2750000;2269950;2754710;2557558;3229363;1.0;1.1122;0.9239;1.1459;1.2136;1.2627;13669336;15222561;28891897;1.1136;8839828;9236488;1.0449;IT;1.0606;1.2037;0.9786;1.1588;1.1946;1.0665;1.0489;1.0917;0.0017;0.0018;1.3117;1.5789;1.0788;1.0557;0.6628;0.7681;0.4906;0.5861;0.2392;0.2552;0.5335;0.5596;0.5469;0.9692;1.0581
JEY;2000;2000;3538;4054;5061;5563;3957;5296;3000;4261;3292;5087;1.0;1.1458;1.0992;1.3384;1.4203;1.5453;20848;26261;47109;1.2596;12556;14913;1.1877;JE;0.9824;1.2028;1.126;1.3309;1.4207;1.3887;1.2156;1.208;0.9407;0.9242;0.8966;1.0785;0.8027;0.9038;0.5368;0.7144;0.3855;0.5476;0.2004;0.2783;0.4742;0.5765;0.5263;0.7125;0.8607
JAM;2000;2000;145592;164817;174287;198404;78892;100650;36979;48841;30004;39191;1.0;1.132;1.1384;1.2758;1.3208;1.3062;467754;553903;1021657;1.1842;398771;463871;1.1633;JM;1.0349;1.1708;1.1747;1.306;1.2584;1.0593;1.1456;1.1978;0.0219;0.0227;0.8513;0.9967;0.6541;0.7684;0.3528;0.4607;0.2173;0.2734;0.1335;0.1414;0.4076;0.467;0.4378;0.6032;0.7225
JOR;2000;2000;744375;720487;709386;633348;307343;320210;153881;178695;108327;129439;1.0;0.9679;0.8928;1.0419;1.1613;1.1949;2025312;1984179;4009491;0.9797;1761104;1674045;0.9506;JO;1.0021;0.989;1.0051;1.1657;1.3168;1.2417;1.0573;1.0382;0.0044;0.0044;1.0534;1.0418;0.7001;0.7037;0.3948;0.4602;0.2586;0.3405;0.1788;0.222;0.4872;0.5151;0.5006;0.7049;0.7318
JPN;2092;2288;5196783;7300158;5004167;7095834;3804167;5766666;3854166;5079167;3233516;3816190;1.0937;1.4047;1.418;1.5159;1.3178;1.1802;21094891;29060303;50155194;1.3776;14005117;20162658;1.4397;JP;1.1587;1.4788;1.4759;1.5535;1.3437;1.0017;1.2977;1.4928;0.0009;0.0011;1.205;1.782;0.8013;1.1825;0.5109;0.7936;0.4021;0.5403;0.1347;0.1349;0.3914;0.5078;0.4513;0.7779;1.1612
KEN;2812;2000;863821;646279;599058;556959;193441;184800;63416;55225;86462;106859;0.7112;0.7482;0.9297;0.9553;0.8708;1.2359;1809010;1552122;3361132;0.858;1656320;1388038;0.838;KE;0.7124;0.7264;0.8964;0.9873;0.8814;1.0641;0.8375;0.8256;0.0011;0.0008;0.2276;0.1653;0.1441;0.1292;0.0614;0.0607;0.0318;0.0281;0.0478;0.0509;0.1033;0.0865;0.0948;0.1492;0.1232
KGZ;2000;2000;508967;539367;443978;447719;253411;287343;114576;161270;88312;158659;1.0;1.0597;1.0084;1.1339;1.4075;1.7966;1411244;1596358;3007602;1.1312;1206356;1274429;1.0564;KG;1.0647;1.0445;0.9933;1.1046;1.3327;1.4221;1.069;1.037;0.008;0.0085;1.3869;1.4486;0.8044;0.7991;0.5732;0.6332;0.3452;0.4601;0.2149;0.3056;0.5995;0.6408;0.6207;0.8864;0.9192
KHM;2000;2000;299563;427333;334487;372217;107354;96184;22404;16458;14150;11633;1.0;1.4265;1.1128;0.896;0.7346;0.8221;779958;925825;1705783;1.187;741404;895734;1.2082;KH;1.0424;1.4255;1.0745;0.8699;0.6815;0.6063;1.1018;1.1798;0.003;0.0031;0.3038;0.4331;0.2438;0.262;0.0871;0.0758;0.0305;0.0208;0.0146;0.0088;0.1306;0.1439;0.1375;0.2065;0.2436
KIR;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;KI;0.9704;1.0107;0.9322;0.8998;0.8532;0.7334;0.8993;0.9445;0.4068;0.3947;0.2532;0.256;0.1914;0.1784;0.2617;0.2355;0.4073;0.3475;0.506;0.3711;0.3114;0.28;0.2949;0.2309;0.218
COM;2000;2000;9842;4891;5903;3187;2508;2000;2000;2000;3000;3000;1.0;0.497;0.5399;0.7974;1.0;1.0;25253;17078;42331;0.6763;18253;10078;0.5521;KM;1.0531;0.513;0.5095;0.8143;1.076;0.9278;0.6779;0.55;0.0552;0.0581;0.1763;0.0904;0.103;0.0525;0.0504;0.041;0.0572;0.0616;0.0782;0.0726;0.0927;0.0628;0.0778;0.112;0.0616
KNA;2000;2000;3654;4142;4625;5245;2517;2979;2000;2000;3000;3000;1.0;1.1336;1.1341;1.1836;1.0;1.0;17796;19366;37162;1.0882;10796;12366;1.1454;KN;0.9091;1.0558;1.0575;1.0338;0.9579;0.8753;0.9874;1.0415;1.6529;1.5026;1.6422;1.7338;1.3124;1.3879;0.7325;0.7572;0.6547;0.6272;0.6031;0.5279;0.9659;0.9538;0.9595;1.1754;1.2241
KOR;2000;2021;2659175;3519567;3404167;3970833;2046708;2675083;1048213;1364446;582288;683599;1.0105;1.3236;1.1665;1.307;1.3017;1.174;9742551;12215549;21958100;1.2538;8110050;10165483;1.2534;KR;1.0772;1.4371;1.3251;1.3949;1.3325;1.0174;1.241;1.3749;0.0021;0.0023;1.2733;1.8298;0.904;1.1978;0.5299;0.7391;0.2438;0.3248;0.0715;0.0728;0.4219;0.5236;0.473;0.8346;1.1476
