iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
BFA;2000;2000;58346;19764;53985;17835;21056;6666;7129;2274;5913;3389;1.0;0.3387;0.3304;0.3166;0.319;0.5731;148429;51928;200357;0.3499;133387;44265;0.3319;BF;1.0282;0.3456;0.3294;0.3097;0.2923;0.4355;0.3384;0.3319;0.0018;0.0019;0.0378;0.0131;0.0335;0.011;0.0184;0.0057;0.0106;0.0031;0.0095;0.0041;0.0222;0.0075;0.0147;0.031;0.0103
BGR;2000;2000;233446;255883;287204;277909;174481;218196;110360;157721;69000;112521;1.0;1.0961;0.9676;1.2505;1.4292;1.6307;876491;1024230;1900721;1.1686;695131;751988;1.0818;BG;1.0608;1.1587;1.0222;1.3339;1.484;1.2278;1.0762;1.1479;0.0143;0.0152;1.0256;1.1884;0.7243;0.7404;0.3458;0.4613;0.2065;0.3064;0.0675;0.0829;0.3103;0.3339;0.3226;0.6159;0.707
BHR;2000;2000;106867;88174;236476;144001;156321;99996;71646;47916;49712;33430;1.0;0.8251;0.6089;0.6397;0.6688;0.6725;623022;415517;1038539;0.6669;499664;332171;0.6648;BH;1.0028;1.3189;1.1716;1.5191;1.2805;0.8499;1.2145;1.3515;0.0592;0.0593;1.2197;1.6086;1.0342;1.2117;0.6125;0.9305;0.553;0.7081;0.5728;0.4868;0.7583;0.921;0.816;0.8743;1.1816
BDI;2000;2000;32712;20996;25254;13240;6910;3513;2229;2000;4604;4467;1.0;0.6418;0.5243;0.5084;0.8973;0.9702;73709;46216;119925;0.627;64876;37749;0.5819;BI;1.0024;0.6406;0.5168;0.4913;0.8543;0.8134;0.6074;0.5726;0.0031;0.0031;0.0401;0.0257;0.0285;0.0147;0.0097;0.0047;0.006;0.0051;0.0135;0.011;0.0195;0.0118;0.0156;0.0268;0.0154
BEN;2000;2000;51950;28022;54312;30879;16606;8808;5552;3182;5295;3733;1.0;0.5394;0.5685;0.5304;0.5731;0.705;135715;76624;212339;0.5646;122868;67709;0.5511;BJ;1.0307;0.5561;0.5785;0.5228;0.546;0.6137;0.5594;0.5585;0.0032;0.0033;0.0565;0.0314;0.0537;0.0311;0.0237;0.0124;0.0123;0.0067;0.0112;0.0069;0.0324;0.0181;0.0253;0.0467;0.0261
BLM;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;BL;1.0404;0.9956;0.8218;0.7658;0.8666;0.8179;0.8502;0.8428;5.9701;6.2112;4.386;4.3668;3.7383;3.0722;3.5778;2.7397;2.9895;2.5907;1.9646;1.6069;3.1855;2.7083;2.9276;3.871;3.2626
BMU;2000;2000;2725;3042;4040;4416;3654;4475;2754;3377;3079;4354;1.0;1.1163;1.0931;1.2247;1.2262;1.4141;18252;21664;39916;1.1869;10419;11933;1.1453;BM;1.1033;1.1411;1.0573;1.2039;1.3504;1.1952;1.1246;1.1299;1.4174;1.5637;1.1354;1.2956;1.201;1.2697;0.8322;1.0018;0.5449;0.7359;0.2851;0.3408;0.6657;0.7487;0.7083;1.026;1.1593
BRN;2000;2000;31313;40854;48242;50996;28465;32529;13117;17399;9233;12017;1.0;1.3047;1.0571;1.1428;1.3264;1.3015;132370;155795;288165;1.177;108020;124379;1.1514;BN;1.0877;1.4678;1.349;1.4564;1.4743;1.2536;1.3521;1.4245;0.152;0.1653;1.1628;1.7067;1.0382;1.4005;0.6553;0.9543;0.4066;0.5994;0.273;0.3422;0.6751;0.9128;0.7857;0.9246;1.3171
BOL;2000;2000;471463;516517;392064;389126;160019;174438;67701;80008;49157;57296;1.0;1.0956;0.9925;1.0901;1.1818;1.1656;1142404;1219385;2361789;1.0674;1023546;1080081;1.0552;BO;1.0314;1.1221;1.008;1.1061;1.1833;1.0237;1.0596;1.0741;0.0042;0.0043;0.5928;0.6652;0.3812;0.3842;0.2025;0.224;0.1183;0.14;0.073;0.0748;0.2632;0.2789;0.2711;0.3916;0.4206
BES;2000;2000;2000;2000;2000;2152;2000;2000;2000;2000;3000;3000;1.0;1.0;1.076;1.0;1.0;1.0;13000;13152;26152;1.0117;6000;6152;1.0253;BQ;1.0908;1.0561;1.1345;1.0815;1.0812;1.0718;1.0844;1.0931;3.0817;3.3613;2.002;2.1142;0.8889;1.0084;0.8337;0.9017;0.9054;0.979;0.6745;0.7229;1.0036;1.0882;1.0444;1.0623;1.1612
