iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
BDI;BI;2000;2000;289877;215228;273096;141949;122407;49380;39337;13313;31339;17841;1.0;0.7425;0.5198;0.4034;0.3384;0.5693;758056;439711;1197767;0.5801;685380;406557;0.5932;BI;1.0024;0.7412;0.5123;0.3898;0.3222;0.4773;0.5619;0.5837;0.0031;0.0031;0.3556;0.2635;0.3077;0.1576;0.171;0.0667;0.1063;0.0343;0.0917;0.0438;0.2005;0.1127;0.1559;0.2834;0.1654
BEN;BJ;2000;2000;688524;479080;596480;338535;239283;118883;84765;41569;73036;52831;1.0;0.6958;0.5676;0.4968;0.4904;0.7234;1684088;1032898;2716986;0.6133;1524287;936498;0.6144;BJ;1.0307;0.7173;0.5776;0.4897;0.4672;0.6297;0.6076;0.6227;0.0032;0.0033;0.7484;0.5369;0.5898;0.3406;0.3414;0.1672;0.1879;0.0878;0.1546;0.0974;0.4025;0.2446;0.3232;0.5791;0.3606
BLM;BL;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;BL;1.0404;0.9956;0.8218;0.7658;0.8666;0.8179;0.8502;0.8428;5.9701;6.2112;4.386;4.3668;3.7383;3.0722;3.5778;2.7397;2.9895;2.5907;1.9646;1.6069;3.1855;2.7083;2.9276;3.871;3.2626
BMU;BM;2000;2000;2000;2000;3300;3400;4157;4500;3900;4100;5300;7700;1.0;1.0;1.0303;1.0825;1.0513;1.4528;20657;23700;44357;1.1473;9457;9900;1.0468;BM;1.1033;1.0222;0.9965;1.0641;1.1578;1.228;1.0871;1.0328;1.4174;1.5637;0.8333;0.8518;0.981;0.9776;0.9467;1.0074;0.7717;0.8934;0.4908;0.6027;0.7534;0.819;0.7871;0.9313;0.9618
BRN;BN;2000;2000;27617;16593;65038;42041;49467;37973;26503;23015;19241;16800;1.0;0.6008;0.6464;0.7676;0.8684;0.8731;189866;138422;328288;0.7291;142122;96607;0.6797;BN;1.0877;0.6759;0.8249;0.9782;0.9652;0.841;0.8376;0.8409;0.152;0.1653;1.0255;0.6932;1.3997;1.1546;1.1389;1.1141;0.8215;0.7929;0.5689;0.4784;0.9683;0.811;0.8951;1.2165;1.023
BOL;BO;2000;2000;1208397;1094329;1357953;1219806;811124;743575;470091;426990;440511;389987;1.0;0.9056;0.8983;0.9167;0.9083;0.8853;4290076;3876687;8166763;0.9036;3377474;3057710;0.9053;BO;1.0314;0.9275;0.9124;0.9302;0.9095;0.7775;0.897;0.9215;0.0042;0.0043;1.5194;1.4092;1.3203;1.2045;1.0265;0.9549;0.8214;0.7471;0.6544;0.5088;0.9885;0.8867;0.9374;1.2921;1.1907
BES;BQ;2000;2000;2000;2000;2483;2400;2500;2373;2000;2000;3166;3300;1.0;1.0;0.9666;0.9492;1.0;1.0423;14149;14073;28222;0.9946;6983;6773;0.9699;BQ;1.0908;1.0561;1.0192;1.0266;1.0812;1.1171;1.066;1.034;3.0817;3.3613;2.002;2.1142;1.1036;1.1246;1.0421;1.0699;0.9054;0.979;0.7118;0.7952;1.0922;1.1644;1.1271;1.2364;1.2784
BRA;BR;4971;5157;8166667;8251724;15565517;15561034;12813793;14532143;9242857;11527586;9651724;14227455;1.0374;1.0104;0.9997;1.1341;1.2472;1.4741;55445529;64105099;119550628;1.1562;36545977;38344901;1.0492;BR;1.0778;1.0389;1.0061;1.1119;1.1862;1.2466;1.1027;1.0513;0.0008;0.0009;0.721;0.749;0.9513;0.9572;0.7816;0.869;0.6985;0.8285;0.4769;0.5945;0.6629;0.731;0.6977;0.829;0.8715
BHS;BS;2000;2000;17052;18559;36453;35494;26409;26721;18610;21300;19233;26155;1.0;1.0884;0.9737;1.0118;1.1445;1.3599;119757;130229;249986;1.0874;79914;80774;1.0108;BS;1.0134;1.0743;0.9187;0.9074;1.0258;1.0875;0.9742;0.9475;0.1741;0.1765;0.8572;0.9209;1.1424;1.0494;0.9867;0.8954;0.7163;0.7348;0.4798;0.5218;0.7671;0.7473;0.7567;1.0171;0.9637
BTN;BT;2000;2000;79034;76337;88606;81304;54131;48049;25247;20409;20757;16106;1.0;0.9659;0.9176;0.8876;0.8084;0.7759;269775;244205;513980;0.9052;221771;205690;0.9275;BT;1.0837;1.0508;1.1549;1.1012;0.9841;0.8194;1.0595;1.1184;0.0713;0.0772;1.4941;1.57;0.996;1.1503;0.7638;0.8412;0.5718;0.5627;0.3935;0.3225;0.7989;0.8463;0.8207;1.0425;1.1659
BWA;BW;2000;2000;189025;184956;205793;213100;153061;156927;79077;78958;72619;76307;1.0;0.9785;1.0355;1.0253;0.9985;1.0508;701575;712248;1413823;1.0152;547879;554983;1.013;BW;1.012;0.9817;1.0484;1.0547;0.9585;0.9118;1.0032;1.0271;0.0202;0.0204;1.0868;1.0669;0.8742;0.9165;1.0211;1.077;0.8503;0.815;0.7279;0.6636;0.8243;0.8269;0.8256;0.9797;1.0062
BLR;BY;2000;2000;17517;18955;49578;68776;103886;140053;73385;109451;61217;119503;1.0;1.0821;1.3872;1.3481;1.4915;1.9521;307583;458738;766321;1.4914;170981;227784;1.3322;BY;1.0565;1.149;1.4547;1.3556;1.3403;1.2169;1.2551;1.3743;0.01;0.0106;0.056;0.0643;0.0816;0.1187;0.1434;0.1944;0.1247;0.1671;0.0562;0.0684;0.0873;0.1096;0.0994;0.104;0.1429
BLZ;BZ;2000;2000;32342;31286;39031;39553;24928;26669;15053;16269;14659;16131;1.0;0.9673;1.0134;1.0698;1.0808;1.1004;128013;131908;259921;1.0304;96301;97508;1.0125;BZ;1.0371;1.0025;1.0538;1.0691;1.0476;1.059;1.0404;1.0392;0.127;0.1317;1.1325;1.1353;1.0343;1.09;0.8811;0.942;0.7487;0.7843;0.6483;0.6865;0.8364;0.8702;0.8532;1.0181;1.0581
CAN;CA;2000;2000;1289593;1186839;3000000;2800000;2553333;2700000;1898362;2098252;3290519;4214318;1.0;0.9203;0.9333;1.0574;1.1053;1.2807;12033807;13001409;25035216;1.0804;6842926;6686839;0.9772;CA;1.0337;0.9716;0.9903;1.0605;1.0848;1.158;1.055;1.0139;0.0023;0.0024;0.757;0.7355;1.0579;1.0477;0.956;1.0138;0.7877;0.8545;0.5437;0.6296;0.7279;0.768;0.7482;0.949;0.9622
COD;CD;2000;2000;1851279;1267047;1733343;975017;760212;398823;339773;152348;485301;271380;1.0;0.6844;0.5625;0.5246;0.4484;0.5592;5171908;3066615;8238523;0.5929;4344834;2640887;0.6078;CD;0.9962;0.6798;0.5541;0.5121;0.4259;0.4904;0.5747;0.5992;0.0004;0.0004;0.2838;0.1929;0.2513;0.1392;0.1709;0.0875;0.115;0.049;0.1422;0.0697;0.1796;0.1032;0.1408;0.2432;0.1457
