iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio;iso2;age_13_17_ratio_std;age_18_24_ratio_std;age_25_34_ratio_std;age_35_44_ratio_std;age_45_54_ratio_std;age_55_100_ratio_std;total_ratio_std;total_18_44_ratio_std;age_13_17_men_pen;age_13_17_women_pen;age_18_24_men_pen;age_18_24_women_pen;age_25_34_men_pen;age_25_34_women_pen;age_35_44_men_pen;age_35_44_women_pen;age_45_54_men_pen;age_45_54_women_pen;age_55_100_men_pen;age_55_100_women_pen;total_men_pen;total_women_pen;total_all_pen;total_18_44_men_pen;total_18_44_women_pen
KEN;KE;2544;2043;3229459;2453348;3300000;2600000;1467578;1145313;621184;406602;634546;507204;0.8031;0.7597;0.7879;0.7804;0.6546;0.7993;9255311;7114510;16369821;0.7687;7997037;6198661;0.7751;KE;0.8045;0.7376;0.7597;0.8065;0.6626;0.6882;0.7503;0.7636;0.001;0.0008;0.8507;0.6275;0.7937;0.6029;0.4661;0.3759;0.3119;0.2067;0.3509;0.2415;0.5284;0.3965;0.4616;0.7203;0.5501
KGZ;KG;2000;2000;62104;40808;141482;111820;157959;132943;92584;94006;75877;104652;1.0;0.6571;0.7903;0.8416;1.0154;1.3792;532006;486229;1018235;0.914;361545;285571;0.7899;KG;1.0647;0.6476;0.7785;0.8199;0.9615;1.0917;0.8637;0.7754;0.008;0.0085;0.1692;0.1096;0.2564;0.1996;0.3573;0.293;0.2789;0.2682;0.1846;0.2015;0.226;0.1952;0.2102;0.2656;0.206
KHM;KH;2593;2736;2265626;2288450;3230000;2800000;1313683;940212;388296;274430;304884;242680;1.0551;1.0101;0.8669;0.7157;0.7068;0.796;7505082;6548508;14053590;0.8725;6809309;6028662;0.8854;KH;1.0999;1.0094;0.8371;0.6949;0.6557;0.587;0.8099;0.8646;0.0038;0.0042;2.2977;2.3192;2.3541;1.9707;1.0659;0.7407;0.5279;0.3462;0.314;0.1843;1.2564;1.0176;1.1326;1.8965;1.6396
KIR;KI;2000;2000;8853;9326;8900;9417;5660;5417;2700;2550;3000;3000;1.0;1.0534;1.0581;0.9571;0.9444;1.0;31113;31710;62823;1.0192;23413;24160;1.0319;KI;0.9704;1.0647;0.9864;0.8612;0.8057;0.7334;0.9165;0.9746;0.4068;0.3947;1.1209;1.1935;0.8517;0.8401;0.7406;0.6378;0.5499;0.4431;0.506;0.3711;0.7453;0.6831;0.7125;0.9008;0.878
COM;KM;2000;2000;50874;41487;53468;40020;35116;23400;13556;8347;11825;7800;1.0;0.8155;0.7485;0.6664;0.6157;0.6596;166839;123054;289893;0.7376;139458;104907;0.7522;KM;1.0531;0.8418;0.7064;0.6805;0.6625;0.612;0.7394;0.7493;0.0552;0.0581;0.9113;0.7671;0.9329;0.659;0.7051;0.4798;0.3878;0.257;0.3083;0.1886;0.6123;0.4527;0.5326;0.8559;0.6413
KNA;KN;2000;2000;2700;2900;5137;5600;4000;4440;2600;3100;3100;3400;1.0;1.0741;1.0901;1.11;1.1923;1.0968;19537;21440;40977;1.0974;11837;12940;1.0932;KN;0.9091;1.0004;1.0165;0.9695;1.1422;0.96;0.9957;0.994;1.6529;1.5026;1.2135;1.2139;1.4577;1.4819;1.1641;1.1286;0.8511;0.9721;0.6232;0.5983;1.0604;1.0559;1.058;1.2887;1.2809
KOR;KR;2000;2000;612372;417137;1593522;1033511;1163188;738654;906393;521604;848071;397244;1.0;0.6812;0.6486;0.635;0.5755;0.4684;5125546;3110150;8235696;0.6068;3369082;2189302;0.6498;KR;1.066;0.7396;0.7368;0.6777;0.5891;0.4059;0.6006;0.7128;0.0021;0.0023;0.2932;0.2169;0.4232;0.3118;0.3011;0.2041;0.2108;0.1242;0.1042;0.0423;0.2219;0.1333;0.1774;0.3467;0.2472
KWT;KW;2000;2000;149887;75387;690287;285874;605145;276191;278601;117863;116266;45736;1.0;0.503;0.4141;0.4564;0.4231;0.3934;1842186;803051;2645237;0.4359;1445319;637452;0.441;KW;1.0581;0.5643;0.8074;0.8874;0.7952;0.6087;0.753;0.7947;0.0171;0.0181;0.8527;0.4812;1.0729;0.8664;0.7638;0.6778;0.567;0.4508;0.412;0.2508;0.7364;0.5545;0.6697;0.8969;0.7129
CYM;KY;2000;2000;2400;2400;8200;7900;8443;8060;5867;6100;4700;5800;1.0;1.0;0.9634;0.9546;1.0397;1.234;31610;32260;63870;1.0206;19043;18360;0.9641;KY;1.029;1.0147;0.9746;0.9819;1.0866;1.1676;1.0278;0.9832;1.3106;1.3486;0.9379;0.9516;1.3715;1.3367;1.1954;1.1737;0.9086;0.9874;0.6552;0.7651;1.0277;1.0563;1.042;1.2206;1.2001
KAZ;KZ;2000;2000;97702;98016;264902;270762;435203;415352;297307;324802;248706;352330;1.0;1.0032;1.0221;0.9544;1.0925;1.4167;1345820;1463262;2809082;1.0873;797807;784130;0.9829;KZ;1.0476;1.0441;1.0487;0.9478;0.9909;0.9863;0.9938;0.9994;0.0031;0.0032;0.1119;0.1168;0.1769;0.1855;0.3092;0.2931;0.2802;0.2777;0.1701;0.1677;0.1935;0.1922;0.1928;0.2112;0.2111
LAO;LA;2000;2000;783096;755344;850479;741996;450948;353496;210769;159835;172533;130735;1.0;0.9646;0.8724;0.7839;0.7583;0.7577;2469825;2143406;4613231;0.8678;2084523;1850836;0.8879;LA;1.0303;0.991;0.8842;0.8038;0.7543;0.6761;0.8665;0.9069;0.0066;0.0068;1.5367;1.5228;1.2841;1.1356;0.8813;0.7084;0.616;0.4647;0.4512;0.305;0.9117;0.79;0.8508;1.2381;1.1228
LBN;LB;2000;2000;405799;297652;591730;468785;396158;303318;237904;201182;258021;234503;1.0;0.7335;0.7922;0.7656;0.8456;0.9089;1891612;1507440;3399052;0.7969;1393687;1069755;0.7676;LB;1.0769;0.8077;0.6867;0.677;0.7317;0.7559;0.7268;0.7222;0.0091;0.0098;1.1551;0.933;1.6819;1.155;1.1972;0.8106;0.7965;0.5829;0.5083;0.3842;0.9187;0.6677;0.7874;1.3478;0.9733
LCA;LC;2000;2000;5733;5430;14607;14734;11133;12237;7500;8500;7570;8803;1.0;0.9471;1.0087;1.0992;1.1333;1.1629;48543;51704;100247;1.0651;31473;32401;1.0295;LC;1.0543;0.9778;1.0414;1.0894;1.0932;0.9886;1.0309;1.0478;0.3948;0.4162;0.5753;0.5625;0.9102;0.9478;0.8181;0.8912;0.628;0.6865;0.4516;0.4464;0.6614;0.6818;0.6718;0.7943;0.8323
LIE;LI;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;LI;1.0824;1.0055;1.0501;0.9697;0.9935;0.9108;0.9677;1.0076;2.4938;2.6991;1.3708;1.3784;0.8084;0.8489;0.799;0.7749;0.6868;0.6824;0.4512;0.411;0.7739;0.7488;0.7611;0.9323;0.9393
LKA;LK;2383;2000;1255466;836918;1615023;1134649;1260451;811555;688764;444259;482235;352293;0.8393;0.6666;0.7026;0.6439;0.645;0.7305;5304322;3581674;8885996;0.6752;4130940;2783122;0.6737;LK;0.8576;0.6838;0.6859;0.5993;0.5987;0.5724;0.6163;0.655;0.0032;0.0028;1.0398;0.711;1.0143;0.6957;0.8121;0.4867;0.5169;0.3095;0.2169;0.1242;0.6138;0.3783;0.4907;0.9493;0.6219
LBR;LR;2000;2000;184100;168663;177744;166860;115827;86143;57178;36966;44845;29692;1.0;0.9161;0.9388;0.7437;0.6465;0.6621;581694;490324;1072018;0.8429;477671;421666;0.8828;LR;1.0218;0.9296;0.9357;0.7295;0.6074;0.5776;0.8248;0.8816;0.0077;0.0078;0.4988;0.4637;0.4759;0.4453;0.4061;0.2963;0.3075;0.1868;0.2277;0.1315;0.3479;0.287;0.3171;0.4648;0.4097
LSO;LS;2000;2000;120457;133926;98907;106576;61553;67650;20933;25263;32030;40732;1.0;1.1118;1.0775;1.0991;1.2069;1.2717;335880;376147;712027;1.1199;280917;308152;1.097;LS;1.0029;1.1032;1.044;1.0265;1.1134;0.8159;1.0304;1.059;0.0206;0.0207;0.7827;0.8634;0.4917;0.5134;0.423;0.4342;0.3075;0.3423;0.4384;0.3577;0.4546;0.4684;0.4618;0.5612;0.5943
LTU;LT;2000;2000;112577;125547;218407;203286;196974;199727;147467;173459;189357;340999;1.0;1.1152;0.9308;1.014;1.1763;1.8008;866782;1045018;1911800;1.2056;527958;528560;1.0011;LT;1.0369;1.1695;1.038;1.1336;1.142;1.145;1.0454;1.1025;0.0362;0.0375;1.0314;1.2062;1.064;1.1044;1.0041;1.1382;0.776;0.8863;0.4996;0.572;0.7638;0.7985;0.7824;1.034;1.1401
LUX;LU;2000;2000;15489;15503;43003;40969;41233;42603;34099;33951;40041;40128;1.0;1.0009;0.9527;1.0332;0.9957;1.0022;175865;175154;351019;0.996;99725;99075;0.9935;LU;1.0654;1.0719;1.0001;1.0502;1.0439;0.936;1.0032;1.0339;0.1407;0.1499;0.5693;0.6102;0.8068;0.8068;0.7999;0.8401;0.7057;0.7367;0.4549;0.4258;0.6223;0.6243;0.6233;0.7552;0.7808
LVA;LV;2000;2000;48881;57991;98158;97235;114290;120296;78890;103756;90193;176955;1.0;1.1864;0.9906;1.0526;1.3152;1.962;432412;558233;990645;1.291;261329;275522;1.0543;LV;1.0445;1.2536;1.0654;1.0837;1.2274;1.2091;1.0724;1.1087;0.0472;0.0493;0.7728;0.9688;0.855;0.9108;0.8582;0.93;0.6356;0.7801;0.3578;0.4326;0.5925;0.6354;0.6159;0.8396;0.9309
LBY;LY;2000;2000;1042250;699129;1393499;860205;936917;570151;489390;320200;346783;211588;1.0;0.6708;0.6173;0.6085;0.6543;0.6101;4210839;2663273;6874112;0.6325;3372666;2129485;0.6314;LY;1.0645;0.7045;0.6482;0.6415;0.6737;0.5634;0.6498;0.664;0.0071;0.0076;2.4159;1.7019;2.5626;1.661;1.6562;1.0626;1.0245;0.6902;0.8385;0.4725;1.5523;1.0086;1.2841;2.1888;1.4533
MAR;MA;3221;2803;3963815;3378565;4950000;3200000;2900000;1455325;1266800;610032;1178369;565354;0.8702;0.8524;0.6465;0.5018;0.4816;0.4798;14262205;9212079;23474284;0.6459;11813815;8033890;0.68;MA;0.9116;0.8962;0.6745;0.5074;0.4796;0.4503;0.6509;0.7031;0.0025;0.0022;1.8783;1.6833;1.6723;1.1279;1.0712;0.5435;0.5941;0.2849;0.3922;0.1766;1.0026;0.6526;0.8283;1.5189;1.0681
MCO;MC;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;MC;1.0692;1.0452;1.0396;0.9249;0.8994;0.9317;0.9505;0.9979;3.1546;3.3727;1.5723;1.6434;1.105;1.1488;1.2114;1.1204;1.1074;0.996;0.3137;0.2923;0.7768;0.7383;0.7571;1.2677;1.265
MDA;MD;2000;2000;91390;113603;134826;154889;157442;182124;114276;141754;150181;254048;1.0;1.2431;1.1488;1.1568;1.2405;1.6916;650115;848418;1498533;1.305;383658;450616;1.1745;MD;0.9717;1.2247;1.1012;1.0883;1.0498;1.0663;1.0607;1.123;0.027;0.0262;0.8573;1.05;0.674;0.7423;0.6986;0.7603;0.6553;0.688;0.4402;0.4694;0.5796;0.6148;0.599;0.7211;0.8098
MNE;ME;2000;2000;19100;14753;51046;41100;45296;40627;32458;28800;34620;31700;1.0;0.7724;0.8052;0.8969;0.8873;0.9157;184520;158980;343500;0.8616;115442;96480;0.8357;ME;1.0544;0.7943;0.8233;0.8803;0.8048;0.7007;0.7748;0.8418;0.126;0.1328;0.6977;0.5542;1.3185;1.0855;1.0456;0.9205;0.8379;0.6744;0.4208;0.2948;0.7492;0.5804;0.6603;1.0551;0.8882
MAF;MF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;MF;1.0406;0.9941;0.816;0.7911;0.8269;0.8302;0.8522;0.8514;2.2962;2.3895;1.6736;1.6639;1.4545;1.1869;1.3615;1.077;1.2026;0.9945;0.7665;0.6363;1.2396;1.0563;1.1407;1.4855;1.2648
MDG;MG;2000;2000;981885;896036;763434;619610;296408;235881;117156;91666;134487;113449;1.0;0.9126;0.8116;0.7958;0.7824;0.8436;2295370;1958642;4254012;0.8533;2041727;1751527;0.8579;MG;1.0185;0.9256;0.8182;0.7948;0.7683;0.7709;0.8485;0.8646;0.0014;0.0015;0.459;0.4248;0.3309;0.2707;0.1888;0.1501;0.1078;0.0828;0.1188;0.0916;0.2387;0.2026;0.2206;0.3394;0.2934
MHL;MH;2000;2000;3660;4300;3000;3200;2363;2400;2000;2000;3000;3000;1.0;1.1749;1.0667;1.0157;1.0;1.0;16023;16900;32923;1.0547;9023;9900;1.0972;MH;1.111;1.3088;1.0551;1.0071;1.0468;1.0348;1.1028;1.1315;0.9556;1.0616;1.3869;1.8151;1.3812;1.4572;0.9162;0.9227;0.9823;1.0283;1.3793;1.4272;1.1701;1.2904;1.2289;1.221;1.3815
MKD;MK;2000;2000;74050;57437;150111;113420;128704;102703;104035;84443;129582;122690;1.0;0.7757;0.7556;0.798;0.8117;0.9468;588482;482693;1071175;0.8202;352865;273560;0.7753;MK;1.0267;0.7898;0.7732;0.7895;0.7726;0.7798;0.7616;0.7819;0.0479;0.0492;0.9824;0.7759;1.2472;0.9643;1.0108;0.798;0.8523;0.6585;0.507;0.3954;0.7926;0.6037;0.6946;1.0922;0.8539
MLI;ML;2000;2000;448797;194482;770169;248044;414084;100048;138075;25317;108637;40581;1.0;0.4333;0.3221;0.2416;0.1834;0.3735;1881762;610472;2492234;0.3244;1633050;542574;0.3322;ML;1.0255;0.4456;0.3315;0.2498;0.1876;0.3391;0.3296;0.3422;0.0018;0.0018;0.289;0.1288;0.5043;0.1672;0.374;0.0935;0.2066;0.0388;0.178;0.0604;0.2852;0.094;0.1904;0.39;0.1335
MMR;MM;2067;2137;2455259;2509034;3053333;2800000;1074679;1012200;426518;440057;363852;375737;1.0339;1.0219;0.917;0.9419;1.0317;1.0327;7375708;7139165;14514873;0.9679;6583271;6321234;0.9602;MM;1.0822;1.0618;0.9395;0.9492;1.005;0.8579;0.9429;0.9819;0.0011;0.0012;0.7636;0.8109;0.7017;0.6593;0.2676;0.254;0.1324;0.133;0.0934;0.0802;0.3598;0.3393;0.3494;0.5684;0.5581
MNG;MN;2000;2000;341420;376056;379273;391779;288827;306449;174901;197855;157017;223590;1.0;1.1014;1.033;1.061;1.1312;1.424;1343438;1497729;2841167;1.1148;1009520;1074284;1.0642;MN;1.0715;1.1716;1.0839;1.0855;1.0749;1.0633;1.0805;1.1096;0.018;0.0192;2.1731;2.5461;1.4142;1.5329;1.1418;1.2395;0.9466;1.0175;0.8565;0.9107;1.1604;1.254;1.2079;1.4884;1.6514
MAC;MO;2000;2000;12096;13192;53960;59982;55821;63332;22434;27615;20287;24037;1.0;1.0906;1.1116;1.1346;1.2309;1.1848;166598;190158;356756;1.1414;121877;136506;1.12;MO;0.9856;0.8914;0.9753;0.9212;0.9285;1.0018;0.9493;0.9402;0.1764;0.1739;0.5019;0.4474;0.9192;0.8964;1.0094;0.9299;0.5173;0.4803;0.2359;0.2363;0.5975;0.5672;0.581;0.8825;0.8298
MNP;MP;2000;2000;2600;3037;3588;6793;2630;3950;2500;2530;3300;3300;1.0;1.1681;1.8933;1.5019;1.012;1.0;16618;21610;38228;1.3004;8818;13780;1.5627;MP;1.0949;1.3132;2.1314;1.6898;1.1111;1.1143;1.4479;1.7582;1.1799;1.292;1.1675;1.5331;1.3726;2.9255;0.8755;1.4794;0.6336;0.704;0.5992;0.6677;0.875;1.2669;1.0604;1.124;1.9762
MTQ;MQ;2000;2000;5527;5227;15879;17430;14580;18540;14124;17690;26420;30320;1.0;0.9457;1.0977;1.2716;1.2525;1.1476;78530;91207;169737;1.1614;35986;41197;1.1448;MQ;1.053;0.9602;0.8603;0.9015;0.9507;0.9189;0.9392;0.9257;0.235;0.2475;0.4534;0.4354;1.1386;0.9795;1.0058;0.9067;0.6923;0.6582;0.4118;0.3784;0.5874;0.5517;0.5676;0.8857;0.8199
MRT;MR;2000;2000;334716;246019;312298;167015;159109;63141;60105;16868;48629;18456;1.0;0.735;0.5348;0.3968;0.2806;0.3795;916857;513499;1430356;0.5601;806123;476175;0.5907;MR;1.0024;0.7036;0.4872;0.3473;0.2434;0.3316;0.5146;0.5419;0.0089;0.0089;1.0753;0.7566;0.9618;0.4686;0.7183;0.2495;0.4017;0.0978;0.2855;0.0947;0.6537;0.3364;0.4883;0.9401;0.5095
MSR;MS;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;MS;1.16;1.04;0.9752;0.8997;1.0;1.0798;1.0222;0.9568;17.2414;20.0;12.8205;13.3333;7.2464;7.0671;7.1942;6.4725;6.8027;6.8027;3.8911;4.2017;6.8747;7.027;6.95;8.4507;8.0863
MLT;MT;2000;2000;23162;19483;68567;47350;53307;42920;32433;30813;46217;50504;1.0;0.8412;0.6906;0.8051;0.9501;1.0928;225686;193070;418756;0.8555;145036;109753;0.7567;MT;1.0919;0.9488;0.8433;0.9691;1.083;1.007;0.924;0.9064;0.2162;0.236;1.2196;1.1571;1.3713;1.1564;1.109;1.0747;0.897;0.9713;0.5881;0.5922;0.9362;0.865;0.902;1.239;1.1231
MUS;MU;2000;2000;76822;68632;139288;117444;102750;91782;73317;68530;87893;88659;1.0;0.8934;0.8432;0.8933;0.9347;1.0087;482070;437047;919117;0.9066;318860;277858;0.8714;MU;0.9797;0.9247;0.9329;0.9661;0.9514;0.9042;0.9121;0.9405;0.0586;0.0574;1.1415;1.0555;1.2793;1.1935;1.0302;0.9953;0.8575;0.8159;0.571;0.5163;0.8773;0.8002;0.8389;1.1556;1.0869
MDV;MV;2000;2000;39597;24367;107755;50482;70095;41517;27210;17961;16953;11960;1.0;0.6154;0.4685;0.5923;0.6601;0.7055;263610;148287;411897;0.5625;217447;116366;0.5351;MV;1.1461;0.9872;1.1126;1.2222;1.013;0.8158;1.0091;1.1258;0.1446;0.1657;1.3146;1.2976;1.1341;1.2617;0.9565;1.169;0.8361;0.847;0.5885;0.48;0.9635;0.9724;0.9667;1.0959;1.2339
MWI;MW;2000;2000;547184;345601;425020;268278;177104;100583;74942;33000;79483;51952;1.0;0.6316;0.6312;0.5679;0.4403;0.6536;1305733;801414;2107147;0.6138;1149308;714462;0.6216;MW;0.9842;0.6192;0.582;0.5056;0.4272;0.4759;0.5665;0.5803;0.002;0.0019;0.3768;0.2333;0.2851;0.1659;0.1697;0.0858;0.1307;0.0559;0.156;0.0742;0.2142;0.1214;0.1659;0.2883;0.1673
MEX;MX;4768;4710;10931034;11546667;14803448;15046667;9853333;10473333;6566667;7372414;6200000;7100000;0.9878;1.0563;1.0164;1.0629;1.1227;1.1452;48359250;51543791;99903041;1.0659;35587815;37066667;1.0416;MX;1.0192;1.0731;0.9805;0.9361;0.9563;0.9514;0.9755;0.9898;0.0011;0.0011;1.402;1.5046;1.4514;1.4232;1.186;1.1103;0.9556;0.9138;0.6474;0.6159;1.0226;0.9975;1.0095;1.3529;1.3391
MYS;MY;2093;2032;2353104;1722433;4800000;3500000;3100000;2700000;1662738;1574237;1758799;1645728;0.9709;0.732;0.7292;0.871;0.9468;0.9357;13676734;11144430;24821164;0.8148;10253104;7922433;0.7727;MY;1.0509;0.8253;0.8788;1.021;1.0281;0.9134;0.9061;0.9061;0.0018;0.0019;1.0358;0.8548;1.4032;1.2331;1.0257;1.0471;0.8338;0.8572;0.6599;0.6028;0.942;0.8536;0.9001;1.1765;1.066
MOZ;MZ;2000;2000;994426;707579;768952;586333;354981;254370;127585;87967;121570;74794;1.0;0.7115;0.7625;0.7166;0.6895;0.6152;2369514;1713043;4082557;0.723;2118359;1548282;0.7309;MZ;0.9992;0.7004;0.7215;0.618;0.5823;0.3574;0.646;0.6857;0.0013;0.0013;0.4484;0.3141;0.3373;0.2434;0.2519;0.1557;0.1479;0.0861;0.1674;0.0599;0.2633;0.1701;0.214;0.3586;0.2459
NCL;NC;2000;2000;12483;13376;20476;21027;17493;19657;13576;16020;17117;19756;1.0;1.0715;1.0269;1.1237;1.18;1.1542;83145;91836;174981;1.1045;50452;54060;1.0715;NC;1.0148;1.0699;1.006;1.083;1.1168;1.0562;1.0583;1.0485;0.2331;0.2366;0.8535;0.9132;1.0138;1.0199;0.8583;0.9295;0.709;0.7918;0.5759;0.6083;0.7381;0.7811;0.76;0.9139;0.9583
NER;NE;2000;2000;166294;52426;242882;55116;115143;21839;51334;6957;36083;10499;1.0;0.3153;0.2269;0.1897;0.1355;0.291;613736;148837;762573;0.2425;524319;129381;0.2468;NE;1.0364;0.3275;0.2367;0.1996;0.1406;0.2734;0.2497;0.2576;0.0016;0.0017;0.0956;0.0313;0.1467;0.0347;0.105;0.021;0.0714;0.01;0.0471;0.0129;0.0849;0.0212;0.0535;0.1168;0.0301
NFK;NF;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;NF;;;;;;;;;;;;;;;;;;;;;;;;;
NGA;NG;4371;3670;7166667;5800714;8415517;6776190;4863333;3100000;2203385;1155216;2423754;1708542;0.8396;0.8094;0.8052;0.6374;0.5243;0.7049;25077027;18544332;43621359;0.7395;20445517;15676904;0.7668;NG;0.8713;0.8396;0.8306;0.6522;0.5289;0.6597;0.7529;0.7908;0.0004;0.0004;0.4675;0.3926;0.5288;0.4392;0.4163;0.2715;0.2859;0.1512;0.3124;0.2061;0.3631;0.2734;0.3186;0.4763;0.3767
NIC;NI;2000;2000;664289;617811;647728;648337;400496;404639;207731;218481;197491;219171;1.0;0.93;1.0009;1.0103;1.0517;1.1098;2119735;2110439;4230174;0.9956;1712513;1670787;0.9756;NI;1.0276;0.9537;0.9986;0.934;0.9731;0.8666;0.9403;0.9583;0.0075;0.0077;1.5081;1.4383;1.1123;1.1108;0.9051;0.8454;0.6549;0.6373;0.5815;0.5039;0.8879;0.8349;0.8607;1.1687;1.1199
NLD;NL;2000;2000;340463;441013;932737;991386;764893;869361;685928;810375;1301925;1556071;1.0;1.2953;1.0629;1.1366;1.1814;1.1952;4027946;4670206;8698152;1.1595;2038093;2301760;1.1294;NL;1.0458;1.3402;1.0907;1.1481;1.1737;1.0961;1.1322;1.1549;0.0049;0.0052;0.4163;0.558;0.7653;0.8347;0.6905;0.7927;0.5853;0.6869;0.446;0.4888;0.5272;0.5969;0.5625;0.6482;0.7486
NOR;NO;2000;2000;193263;199465;350824;352770;314486;334152;289173;311046;528113;604537;1.0;1.0321;1.0055;1.0625;1.0756;1.1447;1677859;1803970;3481829;1.0752;858573;886387;1.0324;NO;1.0564;1.0922;1.0523;1.1122;1.1205;1.0783;1.0841;1.0834;0.0148;0.0156;0.8115;0.8863;0.8997;0.9468;0.8444;0.9392;0.7659;0.8582;0.6471;0.6978;0.7203;0.7808;0.7504;0.8581;0.9297
NPL;NP;3115;2730;2762138;2252592;2968966;2271598;1625470;1236052;579820;444686;653758;531752;0.8764;0.8155;0.7651;0.7604;0.7669;0.8134;8593267;6739410;15332677;0.7843;7356574;5760242;0.783;NP;0.8946;0.7756;0.6377;0.6117;0.6753;0.7189;0.6936;0.6748;0.0026;0.0023;1.352;1.0487;1.3306;0.8486;0.9919;0.6068;0.4485;0.3029;0.3661;0.2632;0.842;0.584;0.7051;1.2441;0.8395
NRU;NR;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;NR;1.1469;1.0108;1.1164;1.0324;1.0023;0.7888;1.0256;1.0582;3.7665;4.3197;3.0581;3.0912;2.0243;2.2599;2.4125;2.4907;4.6083;4.6189;7.371;5.814;3.3828;3.4694;3.4256;2.4282;2.5696
NIU;NU;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0;6000;6000;1.0;NU;0.9384;0.663;1.2195;0.9074;0.7795;0.9667;0.914;0.9184;32.7869;30.7692;32.7869;21.7391;20.0;24.3902;20.4082;18.5185;20.202;15.748;11.4943;11.1111;19.1176;17.4731;18.2584;23.166;21.2766
NZL;NZ;2000;2000;240104;242229;429927;411835;349973;363369;254307;288550;399570;532643;1.0;1.0089;0.9579;1.0383;1.1347;1.333;1675881;1840626;3516507;1.0983;1020004;1017433;0.9975;NZ;1.0555;1.0685;0.9916;1.0209;1.0911;1.2092;1.069;1.0194;0.0149;0.0157;1.0302;1.1008;1.1294;1.1199;1.0522;1.0742;0.802;0.875;0.5661;0.6846;0.7966;0.8516;0.8245;1.0778;1.0987
OMN;OM;2000;2000;201792;89486;631169;191716;416968;123416;145616;41547;53833;18790;1.0;0.4435;0.3037;0.296;0.2853;0.349;1451378;466955;1918333;0.3217;1249929;404618;0.3237;OM;1.0481;0.6853;0.6974;0.6638;0.5776;0.4355;0.6142;0.6845;0.0168;0.0176;0.6992;0.4791;0.7668;0.5348;0.5774;0.3833;0.4609;0.2662;0.291;0.1267;0.5914;0.3632;0.513;0.6816;0.4665
PAN;PA;2000;2000;193148;162949;337547;305460;243086;236507;158366;161065;154400;172873;1.0;0.8436;0.9049;0.9729;1.017;1.1196;1088547;1040854;2129401;0.9562;773781;704916;0.911;PA;1.0441;0.8762;0.9236;0.9816;1.0047;0.9919;0.9418;0.9307;0.0134;0.014;0.7626;0.6683;0.9946;0.9186;0.7998;0.7852;0.6128;0.6158;0.4165;0.4132;0.6499;0.6121;0.6308;0.863;0.8032
PER;PE;2670;2752;3118292;2899352;4157143;3768966;2900000;2666667;1835417;1716348;1935470;1795954;1.0307;0.9298;0.9066;0.9195;0.9351;0.9279;13948992;12850039;26799031;0.9212;10175435;9334985;0.9174;PE;1.0614;0.9369;0.8781;0.9041;0.9444;0.8503;0.8996;0.903;0.0023;0.0024;1.5892;1.489;1.5446;1.3564;1.236;1.1175;0.9546;0.9014;0.7091;0.603;1.0873;0.9781;1.032;1.4536;1.3125
PYF;PF;2000;2000;17306;18510;22113;24404;20320;23544;14834;17303;17980;20872;1.0;1.0696;1.1036;1.1587;1.1664;1.1608;94553;106633;201186;1.1278;59739;66458;1.1125;PF;1.0478;1.1154;1.1143;1.1417;1.2047;1.167;1.1445;1.1223;0.223;0.2336;1.1616;1.2956;1.1088;1.2355;0.9602;1.0962;0.7576;0.9128;0.5843;0.6819;0.8199;0.9383;0.8787;1.0667;1.1971
PNG;PG;2000;2000;319663;230537;319139;188500;153066;83908;75637;33665;58116;24604;1.0;0.7212;0.5907;0.5482;0.4451;0.4234;927621;563214;1490835;0.6072;791868;502945;0.6351;PG;1.1068;0.7948;0.623;0.5367;0.4454;0.4655;0.6397;0.6641;0.0045;0.005;0.4503;0.3579;0.3709;0.231;0.2377;0.1276;0.1629;0.0725;0.1214;0.0565;0.2578;0.1649;0.2126;0.3576;0.2375
