Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Andorra,AND,"Population ages 45-49, female",SP.POP.4549.FE,3573,3650,3669,3639,3599,3543
Andorra,AND,"Population ages 45-49, male",SP.POP.4549.MA,3673,3720,3741,3710,3671,3586
Andorra,AND,"Population ages 50-54, female",SP.POP.5054.FE,3311,3312,3391,3466,3528,3634
Andorra,AND,"Population ages 50-54, male",SP.POP.5054.MA,3517,3547,3612,3669,3722,3777
Andorra,AND,"Population ages 55-59, female",SP.POP.5559.FE,2996,3071,3136,3203,3275,3302
Andorra,AND,"Population ages 55-59, male",SP.POP.5559.MA,3204,3312,3398,3472,3523,3548
Andorra,AND,"Population ages 60-64, female",SP.POP.6064.FE,2279,2413,2572,2735,2862,2969
Andorra,AND,"Population ages 60-64, male",SP.POP.6064.MA,2477,2599,2746,2905,3044,3165
Andorra,AND,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5667,5883,6112,6382,6680,7008
Andorra,AND,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,5335,5556,5819,6084,6386,6722
Angola,AGO,"Population ages 10-14, male",SP.POP.1014.MA,2106791,2190223,2273066,2355034,2435293,2512835
Angola,AGO,"Population ages 15-19, female",SP.POP.1519.FE,1696188,1769579,1846405,1925231,2006778,2089502
Angola,AGO,"Population ages 10-14, female",SP.POP.1014.FE,2098493,2180749,2262458,2343110,2421909,2497814
Angola,AGO,"Population ages 15-19, male",SP.POP.1519.MA,1693930,1768873,1847149,1927363,2010182,2094121
Angola,AGO,"Population ages 20-24, female",SP.POP.2024.FE,1408738,1452904,1502781,1557704,1619982,1689138
Angola,AGO,"Population ages 20-24, male",SP.POP.2024.MA,1394543,1439065,1489570,1545471,1608973,1679555
Angola,AGO,"Population ages 25-29, female",SP.POP.2529.FE,1240992,1269499,1298888,1328964,1361425,1397699
Angola,AGO,"Population ages 25-29, male",SP.POP.2529.MA,1218499,1247073,1276509,1306679,1339282,1375713
Angola,AGO,"Population ages 30-34, female",SP.POP.3034.FE,1084810,1116837,1147315,1175458,1202174,1227862
Angola,AGO,"Population ages 30-34, male",SP.POP.3034.MA,1057788,1088984,1118739,1146354,1172740,1198300
Angola,AGO,"Population ages 35-39, female",SP.POP.3539.FE,902688,937299,971955,1005890,1038726,1069952
Angola,AGO,"Population ages 35-39, male",SP.POP.3539.MA,872046,906279,940362,973512,1005411,1035623
Angola,AGO,"Population ages 40-44, female",SP.POP.4044.FE,734886,762408,791448,821786,853382,886002
Angola,AGO,"Population ages 40-44, male",SP.POP.4044.MA,697390,725045,754024,784201,815480,847616
Angola,AGO,"Population ages 45-49, female",SP.POP.4549.FE,604471,623302,644412,667238,691263,716479
Angola,AGO,"Population ages 45-49, male",SP.POP.4549.MA,555612,575569,597546,620989,645341,670638
Angola,AGO,"Population ages 50-54, female",SP.POP.5054.FE,509468,524336,538413,552605,567204,583192
Angola,AGO,"Population ages 50-54, male",SP.POP.5054.MA,453390,465940,478939,493113,508506,525523
Angola,AGO,"Population ages 55-59, female",SP.POP.5559.FE,408746,422977,437326,452538,468360,483946
Angola,AGO,"Population ages 55-59, male",SP.POP.5559.MA,365117,374860,384714,395378,406848,418827
Angola,AGO,"Population ages 60-64, female",SP.POP.6064.FE,308224,322138,336252,350568,364705,378658
Angola,AGO,"Population ages 60-64, male",SP.POP.6064.MA,272312,283395,294519,305393,315683,325451
Angola,AGO,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,514564,534902,557366,582419,608979,636823
Angola,AGO,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,397183,412911,430914,450785,471685,493356
Antigua and Barbuda,ATG,"Population ages 10-14, male",SP.POP.1014.MA,3334,3327,3294,3185,3024,2912
Antigua and Barbuda,ATG,"Population ages 15-19, female",SP.POP.1519.FE,3239,3156,3122,3145,3207,3237
Antigua and Barbuda,ATG,"Population ages 10-14, female",SP.POP.1014.FE,3246,3237,3202,3094,2938,2828
Antigua and Barbuda,ATG,"Population ages 15-19, male",SP.POP.1519.MA,3324,3238,3203,3228,3294,3326
Antigua and Barbuda,ATG,"Population ages 20-24, female",SP.POP.2024.FE,3548,3494,3412,3348,3306,3226
Antigua and Barbuda,ATG,"Population ages 20-24, male",SP.POP.2024.MA,3599,3562,3492,3429,3387,3307
Antigua and Barbuda,ATG,"Population ages 25-29, female",SP.POP.2529.FE,3651,3662,3686,3665,3597,3542
Antigua and Barbuda,ATG,"Population ages 25-29, male",SP.POP.2529.MA,3526,3574,3625,3638,3606,3574
Antigua and Barbuda,ATG,"Population ages 30-34, female",SP.POP.3034.FE,3686,3685,3650,3635,3641,3640
Antigua and Barbuda,ATG,"Population ages 30-34, male",SP.POP.3034.MA,3445,3465,3463,3467,3475,3499
Antigua and Barbuda,ATG,"Population ages 35-39, female",SP.POP.3539.FE,3485,3546,3595,3621,3641,3667
Antigua and Barbuda,ATG,"Population ages 35-39, male",SP.POP.3539.MA,3237,3272,3323,3360,3387,3425
Antigua and Barbuda,ATG,"Population ages 40-44, female",SP.POP.4044.FE,3398,3358,3345,3368,3405,3456
Antigua and Barbuda,ATG,"Population ages 40-44, male",SP.POP.4044.MA,3031,3048,3063,3108,3167,3206
Antigua and Barbuda,ATG,"Population ages 45-49, female",SP.POP.4549.FE,3503,3446,3409,3397,3388,3363
Antigua and Barbuda,ATG,"Population ages 45-49, male",SP.POP.4549.MA,3022,2978,2948,2934,2947,2981
Antigua and Barbuda,ATG,"Population ages 50-54, female",SP.POP.5054.FE,3694,3699,3681,3614,3525,3450
Antigua and Barbuda,ATG,"Population ages 50-54, male",SP.POP.5054.MA,3047,3055,3056,3033,2997,2952
Antigua and Barbuda,ATG,"Population ages 55-59, female",SP.POP.5559.FE,3299,3402,3484,3542,3584,3602
Antigua and Barbuda,ATG,"Population ages 55-59, male",SP.POP.5559.MA,2695,2798,2883,2943,2955,2946
Antigua and Barbuda,ATG,"Population ages 60-64, female",SP.POP.6064.FE,2649,2779,2892,2997,3089,3187
Antigua and Barbuda,ATG,"Population ages 60-64, male",SP.POP.6064.MA,2161,2239,2305,2359,2435,2544
Antigua and Barbuda,ATG,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,5380,5630,5899,6203,6536,6885
Antigua and Barbuda,ATG,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,3679,3862,4062,4285,4515,4738
Arab World,ARB,"Population ages 10-14, male",SP.POP.1014.MA,23777626,24338421,24989949,25590318,26097583,26553201
Arab World,ARB,"Population ages 15-19, female",SP.POP.1519.FE,20096487,20488171,21040763,21619226,22141216,22668985
Arab World,ARB,"Population ages 10-14, female",SP.POP.1014.FE,22786685,23330423,23956753,24521755,25016281,25469594
Arab World,ARB,"Population ages 15-19, male",SP.POP.1519.MA,20948643,21329337,21890530,22488105,23056953,23648798
Arab World,ARB,"Population ages 20-24, female",SP.POP.2024.FE,18543171,18809406,19218696,19629467,19978227,20317383
Arab World,ARB,"Population ages 20-24, male",SP.POP.2024.MA,19933534,20214989,20662925,20991081,21330222,21774858
Arab World,ARB,"Population ages 25-29, female",SP.POP.2529.FE,17717241,17880596,18192247,18475029,18746883,19083885
Arab World,ARB,"Population ages 25-29, male",SP.POP.2529.MA,20194561,20444965,20932733,21101140,21249020,21555490
Arab World,ARB,"Population ages 30-34, female",SP.POP.3034.FE,16815386,16970680,17274299,17553578,17805865,18074945
Arab World,ARB,"Population ages 30-34, male",SP.POP.3034.MA,19629899,19770174,20254577,20599148,20900732,21210504
Arab World,ARB,"Population ages 35-39, female",SP.POP.3539.FE,15079145,15417392,15881048,16304726,16628676,16901293
Arab World,ARB,"Population ages 35-39, male",SP.POP.3539.MA,17496169,17731390,18356448,18953964,19409941,19794382
Arab World,ARB,"Population ages 40-44, female",SP.POP.4044.FE,12751804,13116848,13583785,14075220,14521007,14929590
Arab World,ARB,"Population ages 40-44, male",SP.POP.4044.MA,14494843,14803741,15418107,16093660,16620209,17035671
Arab World,ARB,"Population ages 45-49, female",SP.POP.4549.FE,10642700,10906839,11259564,11670086,12079910,12497351
Arab World,ARB,"Population ages 45-49, male",SP.POP.4549.MA,11924429,12069603,12443802,12961373,13441304,13883572
Arab World,ARB,"Population ages 50-54, female",SP.POP.5054.FE,8964929,9185319,9461901,9760836,10041284,10329105
Arab World,ARB,"Population ages 50-54, male",SP.POP.5054.MA,9769631,9925186,10235116,10611150,10939458,11245699
Arab World,ARB,"Population ages 55-59, female",SP.POP.5559.FE,7381297,7629326,7886482,8141508,8382993,8621228
Arab World,ARB,"Population ages 55-59, male",SP.POP.5559.MA,7685593,7869476,8137121,8454020,8732484,8981632
Arab World,ARB,"Population ages 60-64, female",SP.POP.6064.FE,5691904,5881845,6121551,6400618,6678926,6955255
Arab World,ARB,"Population ages 60-64, male",SP.POP.6064.MA,5694053,5821449,6032094,6325942,6605612,6858785
Arab World,ARB,"Population ages 65 and above, female",SP.POP.65UP.FE.IN,10420886,10781123,11224625,11744458,12284204,12856730
Arab World,ARB,"Population ages 65 and above, male",SP.POP.65UP.MA.IN,8957229,9206855,9565257,10024686,10491097,10970996
Argentina,ARG,"Population ages 10-14, male",SP.POP.1014.MA,1851309,1872724,1888536,1895989,1906456,1917905
Argentina,ARG,"Population ages 15-19, female",SP.POP.1519.FE,1694289,1695757,1699244,1710682,1728783,1746968
Argentina,ARG,"Population ages 10-14, female",SP.POP.1014.FE,1749151,1768686,1783570,1790819,1801048,1812685
Argentina,ARG,"Population ages 15-19, male",SP.POP.1519.MA,1778719,1782970,1790044,1805165,1826551,1847345
Argentina,ARG,"Population ages 20-24, female",SP.POP.2024.FE,1708968,1703490,1700281,1698011,1694045,1691544
