,country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female
176,JPN,2534,40114000.0,34977000.0,6194414.0,5953869.0
177,JPN,3544,34534000.0,17530500.0,6981661.0,6787158.0
178,JPN,4554,9155000.0,12168500.0,9259254.0,9116671.0
179,JPN,55plus,7454000.0,8260500.0,8183770.0,8036868.0
180,KAZ,1519,500.0,500.0,860694.0,821650.0
181,KAZ,2024,2322000.0,2461000.0,643748.0,618716.0
182,KAZ,2534,3663500.0,2552500.0,1375828.0,1338288.0
183,KAZ,3544,1432000.0,1008500.0,1496148.0,1496632.0
184,KAZ,4554,786000.0,652500.0,1105995.0,1204856.0
185,KAZ,55plus,657000.0,757500.0,878789.0,1052580.0
186,KEN,1519,500.0,500.0,3327181.0,3314668.0
187,KEN,2024,3204000.0,2244000.0,2836210.0,2900422.0
188,KEN,2534,4916000.0,2694000.0,4374464.0,4589867.0
189,KEN,3544,1550500.0,820500.0,3385955.0,3330779.0
190,KEN,4554,607000.0,351500.0,2165767.0,2135874.0
191,KEN,55plus,364000.0,312500.0,1248806.0,1324462.0
192,KOR,1519,1000.0,1000.0,1186996.0,1116139.0
193,KOR,2024,5969000.0,5803000.0,1407244.0,1292288.0
194,KOR,2534,15943500.0,10108000.0,3761187.0,3320203.0
195,KOR,3544,17239500.0,5934000.0,3708323.0,3409962.0
196,KOR,4554,2995000.0,3299500.0,4149582.0,4025828.0
197,KOR,55plus,3456500.0,3856000.0,4191824.0,4233539.0
198,KWT,1519,1500.0,1500.0,147368.0,140802.0
199,KWT,2024,1336000.0,525000.0,138302.0,119848.0
200,KWT,2534,2540500.0,1108000.0,636324.0,333489.0
201,KWT,3544,1032500.0,650500.0,816745.0,425275.0
202,KWT,4554,290500.0,220500.0,542936.0,287548.0
203,KWT,55plus,232000.0,163500.0,247661.0,136415.0
204,LBN,1519,500.0,500.0,275198.0,257650.0
205,LBN,2024,659500.0,538500.0,253410.0,227905.0
206,LBN,2534,1145000.0,739500.0,381295.0,410512.0
207,LBN,3544,391500.0,245000.0,328060.0,374605.0
208,LBN,4554,205000.0,136000.0,295621.0,344876.0
209,LBN,55plus,191500.0,161500.0,277118.0,315586.0
210,LKA,1519,500.0,500.0,875490.0,856169.0
211,LKA,2024,1366500.0,874000.0,836957.0,817169.0
212,LKA,2534,1885000.0,1005000.0,1555947.0,1558165.0
213,LKA,3544,501500.0,252500.0,1451780.0,1567175.0
214,LKA,4554,181500.0,113500.0,1336886.0,1443168.0
215,LKA,55plus,104000.0,77000.0,1101829.0,1260487.0
216,MAR,1519,1500.0,1500.0,1664751.0,1584878.0
217,MAR,2024,16346000.0,4269000.0,1510520.0,1438990.0
218,MAR,2534,10427000.0,5947500.0,2944953.0,2812845.0
219,MAR,3544,5330500.0,3759500.0,2804584.0,2750550.0
220,MAR,4554,1396000.0,1644000.0,2253637.0,2264311.0
221,MAR,55plus,2867000.0,1416000.0,1701598.0,1767288.0
222,MEX,1519,500.0,500.0,5658563.0,5487934.0
223,MEX,2024,12354000.0,12700500.0,5598363.0,5502324.0
224,MEX,2534,25376000.0,17710500.0,10370957.0,10649238.0
225,MEX,3544,7072000.0,5973000.0,8718110.0,9707153.0
226,MEX,4554,3848000.0,3477500.0,7065494.0,8389238.0
227,MEX,55plus,2883000.0,3001500.0,5385968.0,6382383.0
228,NGA,1519,500.0,500.0,13685202.0,13173225.0
229,NGA,2024,7410500.0,5137000.0,11610583.0,11187791.0
230,NGA,2534,13447000.0,6321500.0,16998814.0,16420743.0
231,NGA,3544,4668000.0,2079000.0,12236486.0,11920962.0
232,NGA,4554,1975000.0,965000.0,8457920.0,8354606.0
233,NGA,55plus,1485000.0,887500.0,4902912.0,5041940.0
234,NLD,1519,500.0,500.0,509509.0,488177.0
235,NLD,2024,775000.0,1108000.0,589941.0,570673.0
236,NLD,2534,845000.0,1187500.0,1248008.0,1217771.0
237,NLD,3544,393000.0,558500.0,1145215.0,1127310.0
238,NLD,4554,301500.0,469500.0,1096492.0,1106190.0
239,NLD,55plus,261500.0,365000.0,1256118.0,1261756.0
240,NOR,1519,500.0,500.0,175508.0,166539.0
241,NOR,2024,270500.0,362500.0,177597.0,169914.0
242,NOR,2534,252500.0,316000.0,391992.0,373099.0
243,NOR,3544,123500.0,155000.0,387815.0,372154.0
244,NOR,4554,86500.0,120500.0,372116.0,356609.0
245,NOR,55plus,63000.0,80500.0,356753.0,344628.0
246,OMN,1519,500.0,500.0,161282.0,154902.0
247,OMN,2024,321500.0,239500.0,282025.0,151686.0
248,OMN,2534,848500.0,403000.0,871609.0,379817.0
249,OMN,3544,252500.0,117000.0,847017.0,368042.0
250,OMN,4554,72500.0,38500.0,377168.0,191625.0
251,OMN,55plus,46000.0,36500.0,138068.0,87478.0
252,PAK,1519,500.0,500.0,14000905.0,13328582.0
253,PAK,2024,19035000.0,9012500.0,12065308.0,11538231.0
254,PAK,2534,23483000.0,10328500.0,19794340.0,18903549.0
255,PAK,3544,5797000.0,2273000.0,14642574.0,14248505.0
256,PAK,4554,1775000.0,764000.0,9730731.0,9690455.0
257,PAK,55plus,1932000.0,915000.0,6695295.0,6946714.0
258,PAN,1519,500.0,500.0,188454.0,180632.0
259,PAN,2024,383500.0,391500.0,183117.0,176351.0
260,PAN,2534,720500.0,534000.0,347437.0,339770.0
261,PAN,3544,267000.0,215000.0,315651.0,312434.0
262,PAN,4554,150500.0,137500.0,267375.0,269646.0
263,PAN,55plus,127500.0,146500.0,209046.0,218697.0
264,POL,1519,500.0,500.0,988181.0,939694.0
265,POL,2024,1420500.0,1722500.0,845397.0,807288.0
266,POL,2534,1802000.0,2375000.0,2176934.0,2085764.0
267,POL,3544,980500.0,1268000.0,2975259.0,2886246.0
268,POL,4554,635000.0,869500.0,2682194.0,2667469.0
269,POL,55plus,463000.0,734000.0,2036308.0,2178700.0
270,PRI,1519,500.0,500.0,92106.0,86929.0
271,PRI,2024,29500.0,37500.0,104269.0,99859.0
272,PRI,2534,72500.0,50500.0,197653.0,204409.0
273,PRI,3544,52500.0,42500.0,177211.0,198007.0
274,PRI,4554,33000.0,29500.0,196873.0,221218.0
275,PRI,55plus,50500.0,30500.0,204418.0,240955.0
276,PRT,1519,500.0,500.0,266185.0,257000.0
277,PRT,2024,380500.0,560500.0,291190.0,278358.0
278,PRT,2534,546000.0,777000.0,573058.0,557579.0
279,PRT,3544,292500.0,418000.0,619293.0,645261.0
280,PRT,4554,232000.0,367500.0,761873.0,830650.0
281,PRT,55plus,172000.0,304000.0,697716.0,795902.0
282,PRY,1519,500.0,500.0,302116.0,289686.0
283,PRY,2024,625000.0,604000.0,291883.0,281492.0
284,PRY,2534,1061000.0,775000.0,595709.0,580440.0
285,PRY,3544,400500.0,293000.0,504914.0,496887.0
286,PRY,4554,188000.0,153000.0,339861.0,340377.0
287,PRY,55plus,146500.0,157000.0,254983.0,273861.0
288,QAT,1519,1500.0,1500.0,62951.0,51444.0
289,QAT,2024,791500.0,318500.0,108097.0,50399.0
290,QAT,2534,1902500.0,619500.0,575137.0,173708.0
291,QAT,3544,834000.0,340500.0,605715.0,182892.0
292,QAT,4554,178000.0,104500.0,288663.0,86784.0
293,QAT,55plus,128500.0,83000.0,98368.0,36247.0
294,ROU,1519,500.0,500.0,556653.0,533841.0
295,ROU,2024,764000.0,872500.0,513019.0,492570.0
296,ROU,2534,1087500.0,1103000.0,1046933.0,998628.0
297,ROU,3544,829500.0,910500.0,1328695.0,1246591.0
298,ROU,4554,677000.0,804000.0,1487382.0,1448788.0
299,ROU,55plus,625500.0,911500.0,1190989.0,1282126.0
300,SAU,1519,1500.0,1500.0,1275970.0,1201691.0
301,SAU,2024,15699000.0,6676500.0,1539841.0,1148715.0
302,SAU,2534,25113000.0,12798500.0,4814589.0,2617454.0
303,SAU,3544,15840500.0,7420500.0,4672624.0,2237675.0
304,SAU,4554,2411000.0,2811500.0,2549360.0,1257870.0
305,SAU,55plus,3093000.0,1844000.0,1246086.0,705958.0
306,SWE,1519,500.0,500.0,326118.0,307305.0
307,SWE,2024,489500.0,688500.0,315027.0,293110.0
308,SWE,2534,533000.0,666000.0,713835.0,660188.0
309,SWE,3544,226000.0,283000.0,726065.0,688016.0
310,SWE,4554,148500.0,199500.0,665306.0,643691.0
311,SWE,55plus,129500.0,168000.0,651369.0,638940.0
312,TUR,1519,1500.0,1500.0,3148027.0,3025740.0
313,TUR,2024,36251500.0,12797500.0,3147425.0,3011567.0
314,TUR,2534,24521500.0,12354000.0,6739944.0,6457108.0
315,TUR,3544,12003000.0,6810500.0,6446088.0,6310556.0
316,TUR,4554,3973000.0,3807000.0,5760318.0,5763473.0
317,TUR,55plus,3929500.0,2392500.0,4357324.0,4484460.0
318,UKR,1519,1000.0,1000.0,1128894.0,1075080.0
319,UKR,2024,50305500.0,4541000.0,1003431.0,974012.0
320,UKR,2534,11770500.0,8443000.0,2425448.0,2370639.0
321,UKR,3544,10971500.0,3270500.0,3302494.0,3248276.0
322,UKR,4554,1808500.0,2767000.0,2535508.0,2832335.0
323,UKR,55plus,1856000.0,1805000.0,2448926.0,2901953.0
324,URY,1519,500.0,500.0,119164.0,113909.0
325,URY,2024,259500.0,290500.0,122252.0,117352.0
326,URY,2534,543500.0,394000.0,253103.0,245124.0
327,URY,3544,173500.0,149500.0,224784.0,221079.0
328,URY,4554,125000.0,106500.0,213867.0,219312.0
329,URY,55plus,114000.0,121000.0,181681.0,196211.0
330,USA,1519,500.0,500.0,11454686.0,10792499.0
331,USA,2024,12682500.0,14525000.0,11587245.0,10886816.0
332,USA,2534,18914000.0,16256500.0,23494305.0,21927231.0
333,USA,3544,19250500.0,15100500.0,23766429.0,22350890.0
334,USA,4554,12608500.0,9729000.0,20871095.0,20021867.0
335,USA,55plus,16837500.0,9759500.0,20612996.0,20564704.0
336,ZAF,1519,1500.0,1500.0,2731294.0,2706494.0
337,ZAF,2024,15407000.0,9242500.0,2597837.0,2532950.0
338,ZAF,2534,24212000.0,17910500.0,5560225.0,5638288.0
339,ZAF,3544,12319500.0,11845000.0,5107335.0,5180467.0
340,ZAF,4554,2551500.0,4652500.0,3290462.0,3493533.0
341,ZAF,55plus,2874000.0,3111000.0,2119566.0,2675794.0
