,0,1,2,3
178,MA,3703430,GENDER_UNLIMITED,AGE_45_54
179,MA,3703430,GENDER_UNLIMITED,AGE_55_100
180,MA,3595528,GENDER_FEMALE,AGE_13_17
181,MA,3595528,GENDER_FEMALE,AGE_18_24
182,MA,3595528,GENDER_FEMALE,AGE_25_34
183,MA,3595528,GENDER_FEMALE,AGE_35_44
184,MA,3595528,GENDER_FEMALE,AGE_45_54
185,MA,3595528,GENDER_FEMALE,AGE_55_100
186,MA,3595528,GENDER_MALE,AGE_13_17
187,MA,3595528,GENDER_MALE,AGE_18_24
188,MA,3595528,GENDER_MALE,AGE_25_34
189,MA,3595528,GENDER_MALE,AGE_35_44
190,MA,3595528,GENDER_MALE,AGE_45_54
191,MA,3595528,GENDER_MALE,AGE_55_100
192,MA,3595528,GENDER_UNLIMITED,AGE_13_17
193,MA,3595528,GENDER_UNLIMITED,AGE_18_24
194,MA,3595528,GENDER_UNLIMITED,AGE_25_34
195,MA,3595528,GENDER_UNLIMITED,AGE_35_44
196,MA,3595528,GENDER_UNLIMITED,AGE_45_54
197,MA,3595528,GENDER_UNLIMITED,AGE_55_100
198,MA,1835841,GENDER_FEMALE,AGE_13_17
199,MA,1835841,GENDER_FEMALE,AGE_18_24
200,MA,1835841,GENDER_FEMALE,AGE_25_34
201,MA,1835841,GENDER_FEMALE,AGE_35_44
202,MA,1835841,GENDER_FEMALE,AGE_45_54
203,MA,1835841,GENDER_FEMALE,AGE_55_100
204,MA,1835841,GENDER_MALE,AGE_13_17
205,MA,1835841,GENDER_MALE,AGE_18_24
206,MA,1835841,GENDER_MALE,AGE_25_34
207,MA,1835841,GENDER_MALE,AGE_35_44
208,MA,1835841,GENDER_MALE,AGE_45_54
209,MA,1835841,GENDER_MALE,AGE_55_100
210,MA,1835841,GENDER_UNLIMITED,AGE_13_17
211,MA,1835841,GENDER_UNLIMITED,AGE_18_24
212,MA,1835841,GENDER_UNLIMITED,AGE_25_34
213,MA,1835841,GENDER_UNLIMITED,AGE_35_44
214,MA,1835841,GENDER_UNLIMITED,AGE_45_54
215,MA,1835841,GENDER_UNLIMITED,AGE_55_100
216,MA,3077311,GENDER_FEMALE,AGE_13_17
217,MA,3077311,GENDER_FEMALE,AGE_18_24
218,MA,3077311,GENDER_FEMALE,AGE_25_34
219,MA,3077311,GENDER_FEMALE,AGE_35_44
220,MA,3077311,GENDER_FEMALE,AGE_45_54
221,MA,3077311,GENDER_FEMALE,AGE_55_100
222,MA,3077311,GENDER_MALE,AGE_13_17
223,MA,3077311,GENDER_MALE,AGE_18_24
224,MA,3077311,GENDER_MALE,AGE_25_34
225,MA,3077311,GENDER_MALE,AGE_35_44
226,MA,3077311,GENDER_MALE,AGE_45_54
227,MA,3077311,GENDER_MALE,AGE_55_100
228,MA,3077311,GENDER_UNLIMITED,AGE_13_17
229,MA,3077311,GENDER_UNLIMITED,AGE_18_24
230,MA,3077311,GENDER_UNLIMITED,AGE_25_34
231,MA,3077311,GENDER_UNLIMITED,AGE_35_44
232,MA,3077311,GENDER_UNLIMITED,AGE_45_54
233,MA,3077311,GENDER_UNLIMITED,AGE_55_100
234,MA,285570,GENDER_FEMALE,AGE_13_17
235,MA,285570,GENDER_FEMALE,AGE_18_24
236,MA,285570,GENDER_FEMALE,AGE_25_34
237,MA,285570,GENDER_FEMALE,AGE_35_44
238,MA,285570,GENDER_FEMALE,AGE_45_54
239,MA,285570,GENDER_FEMALE,AGE_55_100
240,MA,285570,GENDER_MALE,AGE_13_17
241,MA,285570,GENDER_MALE,AGE_18_24
242,MA,285570,GENDER_MALE,AGE_25_34
243,MA,285570,GENDER_MALE,AGE_35_44
244,MA,285570,GENDER_MALE,AGE_45_54
245,MA,285570,GENDER_MALE,AGE_55_100
246,MA,285570,GENDER_UNLIMITED,AGE_13_17
247,MA,285570,GENDER_UNLIMITED,AGE_18_24
248,MA,285570,GENDER_UNLIMITED,AGE_25_34
249,MA,285570,GENDER_UNLIMITED,AGE_35_44
250,MA,285570,GENDER_UNLIMITED,AGE_45_54
251,MA,285570,GENDER_UNLIMITED,AGE_55_100
252,MA,2802361,GENDER_FEMALE,AGE_13_17
253,MA,2802361,GENDER_FEMALE,AGE_18_24
254,MA,2802361,GENDER_FEMALE,AGE_25_34
255,MA,2802361,GENDER_FEMALE,AGE_35_44
256,MA,2802361,GENDER_FEMALE,AGE_45_54
257,MA,2802361,GENDER_FEMALE,AGE_55_100
258,MA,2802361,GENDER_MALE,AGE_13_17
259,MA,2802361,GENDER_MALE,AGE_18_24
260,MA,2802361,GENDER_MALE,AGE_25_34
261,MA,2802361,GENDER_MALE,AGE_35_44
262,MA,2802361,GENDER_MALE,AGE_45_54
263,MA,2802361,GENDER_MALE,AGE_55_100
264,MA,2802361,GENDER_UNLIMITED,AGE_13_17
265,MA,2802361,GENDER_UNLIMITED,AGE_18_24
266,MA,2802361,GENDER_UNLIMITED,AGE_25_34
267,MA,2802361,GENDER_UNLIMITED,AGE_35_44
268,MA,2802361,GENDER_UNLIMITED,AGE_45_54
269,MA,2802361,GENDER_UNLIMITED,AGE_55_100
270,MA,3996063,GENDER_FEMALE,AGE_13_17
271,MA,3996063,GENDER_FEMALE,AGE_18_24
272,MA,3996063,GENDER_FEMALE,AGE_25_34
273,MA,3996063,GENDER_FEMALE,AGE_35_44
274,MA,3996063,GENDER_FEMALE,AGE_45_54
275,MA,3996063,GENDER_FEMALE,AGE_55_100
276,MA,3996063,GENDER_MALE,AGE_13_17
277,MA,3996063,GENDER_MALE,AGE_18_24
278,MA,3996063,GENDER_MALE,AGE_25_34
279,MA,3996063,GENDER_MALE,AGE_35_44
280,MA,3996063,GENDER_MALE,AGE_45_54
281,MA,3996063,GENDER_MALE,AGE_55_100
282,MA,3996063,GENDER_UNLIMITED,AGE_13_17
283,MA,3996063,GENDER_UNLIMITED,AGE_18_24
284,MA,3996063,GENDER_UNLIMITED,AGE_25_34
285,MA,3996063,GENDER_UNLIMITED,AGE_35_44
286,MA,3996063,GENDER_UNLIMITED,AGE_45_54
287,MA,3996063,GENDER_UNLIMITED,AGE_55_100
288,MA,3624060,GENDER_FEMALE,AGE_13_17
289,MA,3624060,GENDER_FEMALE,AGE_18_24
290,MA,3624060,GENDER_FEMALE,AGE_25_34
291,MA,3624060,GENDER_FEMALE,AGE_35_44
292,MA,3624060,GENDER_FEMALE,AGE_45_54
293,MA,3624060,GENDER_FEMALE,AGE_55_100
294,MA,3624060,GENDER_MALE,AGE_13_17
295,MA,3624060,GENDER_MALE,AGE_18_24
296,MA,3624060,GENDER_MALE,AGE_25_34
297,MA,3624060,GENDER_MALE,AGE_35_44
298,MA,3624060,GENDER_MALE,AGE_45_54
299,MA,3624060,GENDER_MALE,AGE_55_100
300,MA,3624060,GENDER_UNLIMITED,AGE_13_17
301,MA,3624060,GENDER_UNLIMITED,AGE_18_24
