,index,name,ages_ranges,geo_location,genders,interests,behavior,scholarities,languages,family_statuses,all_fields,targeting,response,lower_end,upper_end,user_count_stage,timestamp
550,550,HU,AGE_55_100,719819,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327385ABEA24AAAB1B9B6D38D', 'data': {'user_count': {'lower_end': 145000, 'upper_end': 179000}, 'user_count_stage': 2}}",145000,179000,2,2025-06-27 01:29:34.842293
551,551,HU,AGE_45_54,719819,GENDER_MALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_MALE', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232738BB976BC0397A14BAC566', 'data': {'user_count': {'lower_end': 212000, 'upper_end': 260000}, 'user_count_stage': 2}}",212000,260000,2,2025-06-27 01:29:34.842293
552,552,HU,AGE_13_17,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025062623273821806BB92C06B7B87B69', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-06-27 01:29:34.842293
553,553,HU,AGE_18_24,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_18_24']}",,"{'code': 0, 'message': 'OK', 'request_id': '202506262327389EA3F19C69EA7DBA1E88', 'data': {'user_count': {'lower_end': 680000, 'upper_end': 832000}, 'user_count_stage': 3}}",680000,832000,3,2025-06-27 01:29:34.842293
554,554,HU,AGE_25_34,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232739DA448B13A4726FB981C7', 'data': {'user_count': {'lower_end': 960000, 'upper_end': 1174000}, 'user_count_stage': 3}}",960000,1174000,3,2025-06-27 01:29:34.842293
555,555,HU,AGE_35_44,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_35_44']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232739088924C1EF8FA1B8784C', 'data': {'user_count': {'lower_end': 520000, 'upper_end': 636000}, 'user_count_stage': 2}}",520000,636000,2,2025-06-27 01:29:34.842293
556,556,HU,AGE_45_54,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_45_54']}",,"{'code': 0, 'message': 'OK', 'request_id': '2025062623273989E406B52DED0BBB23C2', 'data': {'user_count': {'lower_end': 479000, 'upper_end': 587000}, 'user_count_stage': 2}}",479000,587000,2,2025-06-27 01:29:34.842293
557,557,HU,AGE_55_100,719819,GENDER_UNLIMITED,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['719819'], 'gender': 'GENDER_UNLIMITED', 'age_groups': ['AGE_55_100']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232739B30DDD90302039BCA8B6', 'data': {'user_count': {'lower_end': 351000, 'upper_end': 431000}, 'user_count_stage': 2}}",351000,431000,2,2025-06-27 01:29:34.842293
558,558,LB,AGE_13_17,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_13_17']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232740B15462BD6620D7B7ACBE', 'data': {'user_count': {'lower_end': 0, 'upper_end': 1000}, 'user_count_stage': 1}}",0,1000,1,2025-06-27 01:29:34.842293
559,559,LB,AGE_25_34,272103,GENDER_FEMALE,,,,,,"{'advertiser_id': '7381489555305775105', 'objective_type': 'REACH', 'optimization_goal': 'REACH', 'placements': ['PLACEMENT_TIKTOK', 'PLACEMENT_PANGLE', 'PLACEMENT_GLOBAL_APP_BUNDLE'], 'location_ids': ['272103'], 'gender': 'GENDER_FEMALE', 'age_groups': ['AGE_25_34']}",,"{'code': 0, 'message': 'OK', 'request_id': '20250626232740E9D9D93D80E9F2BA30C2', 'data': {'user_count': {'lower_end': 665000, 'upper_end': 814000}, 'user_count_stage': 2}}",665000,814000,2,2025-06-27 01:29:34.842293
