,country_code,region_id,region_level,region_name,support_below_18
430,MX,3531011,PROVINCE,Chiapas,True
431,ES,2519582,PROVINCE,Ceuta,True
432,US,5509151,PROVINCE,Nevada,True
433,GB,2638360,PROVINCE,Scotland,True
434,US,811,PROVINCE,"Reno,DMA®",True
435,AR,3860255,PROVINCE,Cordoba,True
436,FR,11071625,PROVINCE,Auvergne Rhone Alpes,True
437,NL,2749879,PROVINCE,North Holland,True
438,US,622,PROVINCE,"New Orleans,DMA®",True
439,MX,3522961,PROVINCE,Morelos,True
440,EG,358617,PROVINCE,Port Said,True
441,AR,3834450,PROVINCE,Tierra del Fuego,True
442,TR,304825,PROVINCE,Manisa,True
443,NL,2748838,PROVINCE,Overijssel,True
444,BD,1337165,PROVINCE,Rajshahi,True
445,RO,673150,PROVINCE,Calarasi,True
446,ES,3336898,PROVINCE,Cantabria,True
447,US,659,PROVINCE,"Nashville,DMA®",True
448,US,556,PROVINCE,"Richmond-Petersburg,DMA®",True
449,KR,1841597,PROVINCE,North Gyeongsang,True
450,US,605,PROVINCE,"Topeka,DMA®",True
451,US,725,PROVINCE,"Sioux Falls(Mitchell),DMA®",True
452,US,571,PROVINCE,"Fort Myers-Naples,DMA®",True
453,FI,830703,PROVINCE,Kymenlaakso,True
454,ES,2593111,PROVINCE,Castilla La Mancha,True
455,PL,858785,PROVINCE,Lublin,True
456,US,4398678,PROVINCE,Missouri,True
457,DK,6418542,PROVINCE,Region of Southern Denmark,True
458,US,520,PROVINCE,"Augusta-Aiken,DMA®",True
459,MX,3523272,PROVINCE,Mexico,True
460,NL,3319179,PROVINCE,Flevoland,True
461,US,758,PROVINCE,"Idaho Falls-Pocatello (Jackson),DMA®",True
462,US,583,PROVINCE,"Alpena,DMA®",True
463,FI,830699,PROVINCE,South Karelia,True
464,RO,683123,PROVINCE,Buzau,True
465,BR,3395443,PROVINCE,Maranhao,True
466,JP,1864226,PROVINCE,Ehime,True
467,IE,2964574,PROVINCE,Dublin City,True
468,US,752,PROVINCE,"Colorado Springs-Pueblo,DMA®",True
469,US,597,PROVINCE,"Parkersburg,DMA®",True
470,US,5855797,PROVINCE,Hawaii,True
471,MX,3527646,PROVINCE,Mexico City,True
472,SE,3337386,PROVINCE,Vastra Gotaland,True
473,PT,2738782,PROVINCE,Guarda,True
