iso2;age_13_17_women;age_13_17_men;age_18_24_women;age_18_24_men;age_25_34_women;age_25_34_men;age_35_44_women;age_35_44_men;age_45_54_women;age_45_54_men;age_55_100_women;age_55_100_men;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
NO;500.0;500.0;309000.0;253000.0;277000.0;228500.0;146500.0;127000.0;124000.0;96500.0;59000.0;49500.0;1.0;1.2213438735177866;1.212253829321663;1.1535433070866141;1.2849740932642486;1.1919191919191918;755000.0;916000.0;1671000.0;1.2132450331125828
OM;500.0;500.0;265000.0;340500.0;479500.0;906000.0;128500.0;273000.0;44500.0;81500.0;39500.0;51500.0;1.0;0.7782672540381792;0.5292494481236203;0.4706959706959707;0.5460122699386503;0.7669902912621359;1653000.0;957500.0;2610500.0;0.5792498487598307
PA;500.0;500.0;386000.0;383000.0;557500.0;733000.0;214000.0;278500.0;134000.0;156000.0;142500.0;138500.0;1.0;1.0078328981723237;0.7605729877216917;0.7684021543985637;0.8589743589743589;1.0288808664259927;1689500.0;1434500.0;3124000.0;0.8490677715300384
PK;500.0;500.0;9237000.0;19565000.0;11184000.0;24621500.0;2374000.0;6163000.0;798000.0;1878000.0;922500.0;2048500.0;1.0;0.4721185790953233;0.4542371504579331;0.3852020120071394;0.4249201277955272;0.45032950939711985;54276500.0;24516000.0;78792500.0;0.4516871942737649
PL;500.0;500.0;1720500.0;1497500.0;2198000.0;1745000.0;1428500.0;1144000.0;961000.0;754000.0;528000.0;379000.0;1.0;1.148914858096828;1.2595988538681948;1.2486888111888113;1.2745358090185677;1.3931398416886545;5520000.0;6836500.0;12356500.0;1.2384963768115942
PR;500.0;500.0;48500.0;33000.0;64500.0;103500.0;57000.0;59500.0;41500.0;37000.0;46500.0;61500.0;1.0;1.4696969696969697;0.6231884057971014;0.957983193277311;1.1216216216216217;0.7560975609756098;295000.0;258500.0;553500.0;0.8762711864406779
PT;500.0;500.0;588000.0;423000.0;725000.0;527500.0;467000.0;336500.0;376500.0;251500.0;263000.0;169500.0;1.0;1.3900709219858156;1.3744075829383886;1.387815750371471;1.497017892644135;1.551622418879056;1708500.0;2420000.0;4128500.0;1.4164471758852795
PY;500.0;500.0;608000.0;635000.0;807500.0;1123000.0;297000.0;423000.0;151500.0;202500.0;157000.0;159000.0;1.0;0.9574803149606299;0.7190560997328584;0.7021276595744681;0.7481481481481481;0.9874213836477987;2543000.0;2021500.0;4564500.0;0.7949272512780181
QA;1500.0;1500.0;354000.0;835000.0;674000.0;1783000.0;363000.0;808500.0;116500.0;190500.0;98000.0;148500.0;1.0;0.4239520958083832;0.37801458216489064;0.4489795918367347;0.6115485564304461;0.6599326599326599;3767000.0;1607000.0;5374000.0;0.42659941598088663
RO;500.0;500.0;871500.0;790500.0;1087000.0;1084000.0;925000.0;870500.0;921500.0;830500.0;814000.0;637500.0;1.0;1.1024667931688805;1.0027675276752768;1.0626076967260196;1.1095725466586395;1.2768627450980392;4213500.0;4619500.0;8833000.0;1.0963569479055417
SA;1500.0;1500.0;7017500.0;15645000.0;12277000.0;24926500.0;8274000.0;13822500.0;2655000.0;2962500.0;1886000.0;3206000.0;1.0;0.44854586129753915;0.49252803241530096;0.5985892566467715;0.8962025316455696;0.5882719900187149;60564000.0;32111000.0;92675000.0;0.5301994584241464
SE;500.0;500.0;612000.0;479500.0;576000.0;474000.0;316000.0;263000.0;185500.0;147500.0;152000.0;132000.0;1.0;1.2763295099061522;1.2151898734177216;1.2015209125475286;1.2576271186440677;1.1515151515151516;1496500.0;1842000.0;3338500.0;1.2308720347477446
TR;1500.0;1500.0;12834000.0;40678000.0;13428000.0;24612500.0;7655500.0;11879500.0;3841500.0;4104000.0;2496000.0;4176000.0;1.0;0.3155022370814691;0.5455764347384459;0.6444294793551917;0.9360380116959064;0.5977011494252874;85451500.0;40256500.0;125708000.0;0.4711034914542167
UA;1000.0;1000.0;4947000.0;72623500.0;9764000.0;12865000.0;4001500.0;13990500.0;3563000.0;2261500.0;1979500.0;2114000.0;1.0;0.06811844650836162;0.7589584143023708;0.28601551052499913;1.5755029847446385;0.9363765373699149;103855500.0;24256000.0;128111500.0;0.23355527632142736
US;500.0;500.0;14623000.0;11693500.0;17458000.0;19486000.0;16604000.0;18660500.0;11144000.0;12112500.0;11985000.0;17240500.0;1.0;1.250523795270877;0.8959252796879811;0.8897939497869832;0.9200412796697627;0.6951654534381253;79193500.0;71814500.0;151008000.0;0.9068231609917481
UY;500.0;500.0;288000.0;256000.0;435500.0;549500.0;151500.0;179500.0;106500.0;130500.0;120000.0;121500.0;1.0;1.125;0.7925386715195633;0.8440111420612814;0.8160919540229885;0.9876543209876543;1237500.0;1102000.0;2339500.0;0.8905050505050505
ZA;1500.0;1500.0;10555000.0;16616000.0;19591000.0;26293000.0;13553000.0;10280500.0;5102000.0;3193500.0;3296000.0;3109500.0;1.0;0.6352311025517573;0.74510325942266;1.3183210933320364;1.5976201659621105;1.0599774883421773;59494000.0;52098500.0;111592500.0;0.875693347228292
