iso3;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio;total_18_44_men;total_18_44_women;total_18_44_ratio
SWE;252735;238150;432735;389910;743918;703552;688504;653856;666455;646908;1637754.0;1763519.0;0.9423;0.901;0.9457;0.9497;0.9707;1.0768;4422101.0;4395895.0;8817996.0;0.9941;1865157;1747318;0.9368
SWZ;52410;52631;85864;83616;102233;103241;78058;78783;42937;47814;44940.0;64615.0;1.0042;0.9738;1.0099;1.0093;1.1136;1.4378;406442.0;430700.0;837142.0;1.0597;266155;265640;0.9981
SXM;1139;1015;1489;1557;2332;2800;2880;3433;3373;3799;6156.0;6323.0;0.8911;1.0457;1.2007;1.192;1.1263;1.0271;17369.0;18927.0;36296.0;1.0897;6701;7790;1.1625
SYC;3193;3088;6378;5126;13821;8863;13580;8415;9413;7522;11196.0;12060.0;0.9671;0.8037;0.6413;0.6197;0.7991;1.0772;57581.0;45074.0;102655.0;0.7828;33779;22404;0.6633
SYR;1160032;1111960;1879631;1826032;1694325;1628408;1289727;1329056;998491;1077482;1124596.0;1334844.0;0.9586;0.9715;0.9611;1.0305;1.0791;1.187;8146802.0;8307782.0;16454584.0;1.0198;4863683;4783496;0.9835
TCA;939;1107;1758;2073;3462;3392;4451;3891;4075;3501;4964.0;5447.0;1.1789;1.1792;0.9798;0.8742;0.8591;1.0973;19649.0;19411.0;39060.0;0.9879;9671;9356;0.9674
TCD;882377;857438;1225593;1201567;1239958;1235299;790277;806189;539443;563674;470572.0;538711.0;0.9717;0.9804;0.9962;1.0201;1.0449;1.1448;5148220.0;5202878.0;10351098.0;1.0106;3255828;3243055;0.9961
TGO;409647;400516;594566;580262;669154;651661;508407;496571;351009;351139;342769.0;370797.0;0.9777;0.9759;0.9739;0.9767;1.0004;1.0818;2875552.0;2850946.0;5726498.0;0.9914;1772127;1728494;0.9754
THA;1757158;1663696;3340911;3172692;5178832;5082578;5202335;5278752;5201114;5623430;9091750.0;11013013.0;0.9468;0.9496;0.9814;1.0147;1.0812;1.2113;29772100.0;31834161.0;61606261.0;1.0693;13722078;13534022;0.9863
TJK;366431;374618;601238;643566;821891;855507;604421;630729;398216;431711;460444.0;538381.0;1.0223;1.0704;1.0409;1.0435;1.0841;1.1693;3252641.0;3474512.0;6727153.0;1.0682;2027550;2129802;1.0504
TKL;111;79;132;147;181;176;135;148;118;98;175.0;246.0;0.7117;1.1136;0.9724;1.0963;0.8305;1.4057;852.0;894.0;1746.0;1.0493;448;471;1.0513
TKM;223810;207544;381951;368816;654501;642173;487419;495768;367982;429744;340767.0;503004.0;0.9273;0.9656;0.9812;1.0171;1.1678;1.4761;2456430.0;2647049.0;5103479.0;1.0776;1523871;1506757;0.9888
TLS;64254;62811;103088;101237;105988;106756;71304;70510;54562;49923;69029.0;73210.0;0.9775;0.982;1.0072;0.9889;0.915;1.0606;468225.0;464447.0;932672.0;0.9919;280380;278503;0.9933
