iso3;Country;age_13_17_men;age_13_17_women;age_18_24_men;age_18_24_women;age_25_34_men;age_25_34_women;age_35_44_men;age_35_44_women;age_45_54_men;age_45_54_women;age_55_100_men;age_55_100_women;age_13_17_ratio;age_18_24_ratio;age_25_34_ratio;age_35_44_ratio;age_45_54_ratio;age_55_100_ratio;total_men;total_women;total_all;total_ratio
CMR;CM;2000;2000;1092233;793306;1197506;921855;653808;486439;280999;178494;219278;152637;1.0;0.7263;0.7698;0.744;0.6352;0.6961;3445824;2534731;5980555;0.7356
CHN;CN;2114;2000;174255;204219;434844;435574;302266;189909;90460;39961;35189;15458;0.9461;1.172;1.0017;0.6283;0.4418;0.4393;1039128;887121;1926249;0.8537
COL;CO;3088;3636;4244269;4054315;5700000;5500000;3800000;3900000;2400000;2662069;2864387;3267572;1.1775;0.9552;0.9649;1.0263;1.1092;1.1408;19011744;19387592;38399336;1.0198
CRI;CR;2000;2000;322816;304471;533824;502986;426542;430432;273904;286037;325262;382347;1.0;0.9432;0.9422;1.0091;1.0443;1.1755;1884348;1908273;3792621;1.0127
CPV;CV;2000;2000;32048;28327;40969;40487;33473;33444;18940;18526;21385;22651;1.0;0.8839;0.9882;0.9991;0.9781;1.0592;148815;145435;294250;0.9773
CUW;CW;2000;2000;5700;5733;11360;12316;10033;12073;8800;11133;17067;23148;1.0;1.0058;1.0842;1.2033;1.2651;1.3563;54960;66403;121363;1.2082
CXR;CX;2000;2000;2000;2000;2000;2000;2000;2000;2000;2000;3000;3000;1.0;1.0;1.0;1.0;1.0;1.0;13000;13000;26000;1.0
CYP;CY;2000;2000;59847;41087;133334;100154;107476;101779;70148;77308;93381;95216;1.0;0.6865;0.7512;0.947;1.1021;1.0197;466186;417544;883730;0.8957
CZE;CZ;2000;2000;322300;359040;646686;634210;608954;653060;536123;622662;512627;669560;1.0;1.114;0.9807;1.0724;1.1614;1.3061;2628690;2940532;5569222;1.1186
DEU;DE;2000;2000;923580;889723;3300000;3073333;3366667;3450000;2500000;2566667;3359354;3482204;1.0;0.9633;0.9313;1.0248;1.0267;1.0366;13451601;13463927;26915528;1.0009
