,country_code,region_id,region_level,region_name,support_below_18
179,RO,665849,PROVINCE,Suceava,True
180,JP,1848649,PROVINCE,Yamanashi,True
181,US,569,PROVINCE,"Harrisonburg,DMA®",True
182,US,525,PROVINCE,"Albany, GA,DMA®",True
183,EG,359787,PROVINCE,Aswan,True
184,US,588,PROVINCE,"South Bend-Elkhart,DMA®",True
185,US,770,PROVINCE,"Salt Lake City,DMA®",True
186,EG,360483,PROVINCE,New Valley,True
187,KZ,610688,PROVINCE,Aktobe Region,True
188,TR,750510,PROVINCE,Bolu,True
189,US,529,PROVINCE,"Louisville,DMA®",True
190,EG,349401,PROVINCE,North Sinai,True
191,US,524,PROVINCE,"Atlanta,DMA®",True
192,ES,2521383,PROVINCE,Balearic,True
193,US,767,PROVINCE,"Casper-Riverton,DMA®",True
194,DK,6418538,PROVINCE,Capital Region of Denmark,True
195,PL,858791,PROVINCE,Warmian Masurian,True
196,IE,2960964,PROVINCE,Wexford,True
197,IE,2965140,PROVINCE,Cork County,True
198,JP,1854345,PROVINCE,Okinawa,True
199,AR,3862286,PROVINCE,Catamarca,True
200,PT,3411865,PROVINCE,Azores,True
201,CH,2658760,PROVINCE,Schaffhausen,True
202,KR,1845788,PROVINCE,South Jeolla,True
203,IE,2965768,PROVINCE,Carlow,True
204,PK,1168878,PROVINCE,Gilgit Baltistan,True
205,TR,862469,PROVINCE,Yalova,True
206,KR,1841597,PROVINCE,North Gyeongsang,True
207,US,760,PROVINCE,"Twin Falls,DMA®",True
208,MX,3522961,PROVINCE,Morelos,True
209,MX,3520887,PROVINCE,Quintana Roo,True
210,BD,1337200,PROVINCE,Chittagong,True
211,AE,292969,PROVINCE,Abu Dhabi,True
212,US,516,PROVINCE,"Erie,DMA®",True
213,PK,1183606,PROVINCE,Balochistan,True
214,TR,750268,PROVINCE,Bursa,True
215,SA,101627,PROVINCE,Tabuk,True
216,IE,2961422,PROVINCE,Sligo,True
217,US,759,PROVINCE,"Cheyenne-Scottsbluff,DMA®",True
218,CH,2660207,PROVINCE,Jura,True
219,ES,3336900,PROVINCE,Castile and Leon,True
220,TR,312394,PROVINCE,Hatay,True
221,IE,2963435,PROVINCE,Kildare,True
222,FI,830676,PROVINCE,Ostrobothnia,True
223,RO,865518,PROVINCE,Ilfov,True
224,MA,11281879,PROVINCE,Casablanca-Settat,True
225,JP,1854381,PROVINCE,Okayama,True
226,US,504,PROVINCE,"Philadelphia,DMA®",True
227,US,544,PROVINCE,"Norfolk-Portsmouth-Newport News,DMA®",True
228,TR,738742,PROVINCE,Tokat,True
229,PK,1167710,PROVINCE,Punjab,True
230,RO,662447,PROVINCE,Vrancea,True
231,US,687,PROVINCE,"Minot-Bismarck-Dickinson (Williston),DMA®",True
232,DK,6418539,PROVINCE,Central Denmark Region,True
233,JP,1863640,PROVINCE,Gifu,True
234,PK,1184196,PROVINCE,Azad Kashmir,True
235,US,602,PROVINCE,"Chicago,DMA®",True
236,US,633,PROVINCE,"Odessa-Midland,DMA®",True
237,RO,667267,PROVINCE,Sibiu,True
238,KZ,1517381,PROVINCE,East Kazakhstan,True
239,US,577,PROVINCE,"Wilkes-Barre–Scranton–Hazleton,DMA®",True
240,IE,2963517,PROVINCE,Kerry,True
241,MX,4017698,PROVINCE,Baja California Sur,True
242,KZ,1526273,PROVINCE,Astana,True
243,JP,2130037,PROVINCE,Hokkaido,True
244,BD,7671048,PROVINCE,Rangpur,True
245,US,673,PROVINCE,"Columbus-Tupelo-West Point-Houston,DMA®",True
246,MX,3521082,PROVINCE,Puebla,True
247,TR,305267,PROVINCE,Kutahya,True
248,MX,4011741,PROVINCE,Durango,True
249,MX,3527646,PROVINCE,Mexico City,True
250,BR,3447799,PROVINCE,Sergipe,True
251,US,519,PROVINCE,"Charleston, SC,DMA®",True
252,US,5815135,PROVINCE,Washington,True
253,FI,830686,PROVINCE,North Karelia,True
254,US,567,PROVINCE,"Greenville-Spartanburg-Asheville-Anderson,DMA®",True
255,AR,3844419,PROVINCE,Mendoza,True
256,EG,347794,PROVINCE,Sohag,True
257,AR,3435214,PROVINCE,Corrientes,True
258,TR,315807,PROVINCE,Elazig,True
259,US,753,PROVINCE,"Phoenix (Prescott),DMA®",True
260,PL,858790,PROVINCE,Swietokrzyskie,True
261,JP,2110554,PROVINCE,Yamagata,True
262,RO,673612,PROVINCE,Mehedinti,True
263,BR,3402362,PROVINCE,Ceara,True
264,TR,300821,PROVINCE,Siirt,True
265,TR,311044,PROVINCE,Izmir,True
266,CH,2659810,PROVINCE,Lucerne,True
267,US,670,PROVINCE,"Fort Smith-Fayetteville-Springdale-Rogers,DMA®",True
268,NO,3133897,PROVINCE,Troms og Finnmark,True
269,US,802,PROVINCE,"Eureka,DMA®",True
270,US,4831725,PROVINCE,Connecticut,True
271,ES,2513413,PROVINCE,Murcia,True
272,US,821,PROVINCE,"Bend, OR,DMA®",True
273,RO,684647,PROVINCE,Bistrita-Nasaud,True
274,US,686,PROVINCE,"Mobile-Pensacola (Navarre),DMA®",True
275,IT,3174004,PROVINCE,Marche,True
276,US,503,PROVINCE,"Macon,DMA®",True
277,US,804,PROVINCE,"Palm Springs,DMA®",True
278,US,624,PROVINCE,"Sioux City,DMA®",True
279,US,702,PROVINCE,"La Crosse-Eau Claire,DMA®",True
280,EG,361059,PROVINCE,Alexandria,True
281,US,634,PROVINCE,"Amarillo,DMA®",True
282,SE,3337386,PROVINCE,Vastra Gotaland,True
283,BR,3665474,PROVINCE,Acre,True
284,EG,352603,PROVINCE,Matrouh,True
285,US,649,PROVINCE,"Evansville,DMA®",True
286,US,825,PROVINCE,"San Diego,DMA®",True
287,NL,2748838,PROVINCE,Overijssel,True
288,ZA,1085599,PROVINCE,Western Cape,True
289,US,541,PROVINCE,"Lexington,DMA®",True
290,CH,2658664,PROVINCE,Schwyz,True
291,US,698,PROVINCE,"Montgomery-Selma,DMA®",True
