,country_code,region_id,gender,age
145,BR,3469034,GENDER_FEMALE,AGE_18_24
146,BR,3469034,GENDER_FEMALE,AGE_25_34
147,BR,3469034,GENDER_FEMALE,AGE_35_44
148,BR,3469034,GENDER_FEMALE,AGE_45_54
149,BR,3469034,GENDER_FEMALE,AGE_55_100
150,BR,3469034,GENDER_MALE,AGE_13_17
151,BR,3469034,GENDER_MALE,AGE_18_24
152,BR,3469034,GENDER_MALE,AGE_25_34
153,BR,3469034,GENDER_MALE,AGE_35_44
154,BR,3469034,GENDER_MALE,AGE_45_54
155,BR,3469034,GENDER_MALE,AGE_55_100
156,ZA,953987,GENDER_FEMALE,AGE_13_17
157,ZA,953987,GENDER_FEMALE,AGE_18_24
158,ZA,953987,GENDER_FEMALE,AGE_25_34
159,ZA,953987,GENDER_FEMALE,AGE_35_44
160,ZA,953987,GENDER_FEMALE,AGE_45_54
161,ZA,953987,GENDER_FEMALE,AGE_55_100
162,ZA,953987,GENDER_MALE,AGE_13_17
163,ZA,953987,GENDER_MALE,AGE_18_24
164,ZA,953987,GENDER_MALE,AGE_25_34
165,ZA,953987,GENDER_MALE,AGE_35_44
166,ZA,953987,GENDER_MALE,AGE_45_54
167,ZA,953987,GENDER_MALE,AGE_55_100
168,DE,2921044,GENDER_FEMALE,AGE_13_17
169,DE,2921044,GENDER_FEMALE,AGE_18_24
170,DE,2921044,GENDER_FEMALE,AGE_25_34
171,DE,2921044,GENDER_FEMALE,AGE_35_44
172,DE,2921044,GENDER_FEMALE,AGE_45_54
173,DE,2921044,GENDER_FEMALE,AGE_55_100
174,DE,2921044,GENDER_MALE,AGE_13_17
175,DE,2921044,GENDER_MALE,AGE_18_24
176,DE,2921044,GENDER_MALE,AGE_25_34
177,DE,2921044,GENDER_MALE,AGE_35_44
178,DE,2921044,GENDER_MALE,AGE_45_54
179,DE,2921044,GENDER_MALE,AGE_55_100
180,OM,286963,GENDER_FEMALE,AGE_13_17
181,OM,286963,GENDER_FEMALE,AGE_18_24
182,OM,286963,GENDER_FEMALE,AGE_25_34
183,OM,286963,GENDER_FEMALE,AGE_35_44
184,OM,286963,GENDER_FEMALE,AGE_45_54
185,OM,286963,GENDER_FEMALE,AGE_55_100
186,OM,286963,GENDER_MALE,AGE_13_17
187,OM,286963,GENDER_MALE,AGE_18_24
188,OM,286963,GENDER_MALE,AGE_25_34
189,OM,286963,GENDER_MALE,AGE_35_44
190,OM,286963,GENDER_MALE,AGE_45_54
191,OM,286963,GENDER_MALE,AGE_55_100
192,NG,2328926,GENDER_FEMALE,AGE_13_17
193,NG,2328926,GENDER_FEMALE,AGE_18_24
194,NG,2328926,GENDER_FEMALE,AGE_25_34
195,NG,2328926,GENDER_FEMALE,AGE_35_44
