country_code,country_name,male_2534,female_2534,male_3544,female_3544,male_4554,female_4554,male_55plus,female_55plus,male_1317,female_1317,male_1824,female_1824
ECA,Europe & Central Asia (excluding high income),18487424.0,18011242.0,19068870.0,18890054.0,15239796.0,16018839.0,12489387.0,14033731.0,3289.0,3198.5,4577.0,4461.5
ECS,Europe & Central Asia,58464097.0,56210837.0,65936801.0,65496788.0,61202916.0,63103299.0,56154854.0,61412388.0,801057.5,753522.0,1163189.5,1095621.5
ECU,Ecuador,1530768.0,1503416.0,1310527.0,1311486.0,1012585.0,1038963.0,726332.0,772992.0,820993.0,773587.0,1150531.0,1084484.0
EGY,"Egypt, Arab Rep.",9084764.0,8691107.0,8140037.0,7945153.0,5975901.0,5797744.0,4054198.0,4160093.0,837356.5,790921.0,1146763.5,1082036.5
EMU,Euro area,20411420.0,19380005.0,22213753.0,21968169.0,23895179.0,23980510.0,24789272.0,25789284.0,847563.5,802164.0,1154648.5,1091647.5
ERI,Eritrea,268032.0,265944.0,158861.0,165032.0,118202.0,135479.0,82211.0,99991.0,852422.5,807739.5,1173529.0,1112354.0
ESP,Spain,2621150.0,2535200.0,3162322.0,3133224.0,4020627.0,3927757.0,3536348.0,3649198.0,220311.0,209436.5,347959.0,328565.5
EST,Estonia,74925.0,69658.0,105094.0,96063.0,93916.0,90913.0,80074.0,88913.0,221424.0,210577.0,342720.0,323797.5
ETH,Ethiopia,10750422.0,10659598.0,6797601.0,6808016.0,4390173.0,4625697.0,2816032.0,3196310.0,221744.5,210880.5,336431.5,318174.5
EUU,European Union,26295998.0,24965690.0,29460062.0,28889399.0,31277614.0,31216195.0,30691391.0,31986038.0,221718.5,210136.0,331644.0,314754.5
FCS,Fragile and conflict affected situations,80607412.0,79782414.0,58671024.0,59311296.0,40477749.0,42510968.0,26122713.0,28984224.0,222555.5,210007.0,331215.5,315476.5
FIN,Finland,355432.0,333025.0,377436.0,352895.0,342108.0,327799.0,354460.0,358713.0,387767.5,346966.5,472829.0,454728.5
FJI,Fiji,72333.0,72335.0,68059.0,68033.0,51160.0,50991.0,39216.0,41303.0,403543.5,361573.0,470604.5,443040.0
