country_code,bucket,pen_total,pen_male,pen_female,gap_abs,gap_pct
NGA,1519,3.723226233613755e-05,0.0,0.0,-0.0,-1.9062
NGA,2024,0.5503681973109135,0.6383,0.4592,0.1791,16.3195
NGA,2534,0.5915248966346263,0.7911,0.385,0.4061,34.5303
NGA,3544,0.27929274648547314,0.3815,0.1744,0.2071,37.2532
NGA,4554,0.17486961804549775,0.2335,0.1155,0.118,33.8106
NGA,55plus,0.2385656418014064,0.3029,0.176,0.1269,26.4891
NLD,1519,0.0010023193670152734,0.001,0.001,-0.0,-2.1381
NLD,2024,1.6224170999143557,1.3137,1.9416,-0.6279,-19.2881
NLD,2534,0.8242831170190029,0.6771,0.9751,-0.2981,-18.0402
NLD,3544,0.41869726405650104,0.3432,0.4954,-0.1523,-18.1566
NLD,4554,0.35002782970941787,0.275,0.4244,-0.1495,-21.3701
NLD,55plus,0.24882102916984725,0.2082,0.2893,-0.0811,-16.3025
NOR,1519,0.0029235748303595706,0.0028,0.003,-0.0002,-2.6222
NOR,2024,1.8215250740264337,1.5231,2.1334,-0.6103,-16.6912
NOR,2534,0.7430488660825967,0.6441,0.847,-0.2028,-13.6016
NOR,3544,0.3664623162260566,0.3185,0.4165,-0.098,-13.3402
NOR,4554,0.2840577721362654,0.2325,0.3379,-0.1055,-18.4885
NOR,55plus,0.2045963606085708,0.1766,0.2336,-0.057,-13.8946
OMN,1519,0.0031627153809174404,0.0031,0.0032,-0.0001,-2.0178
OMN,2024,1.293488060021535,1.14,1.5789,-0.4389,-16.1444
OMN,2534,1.0000591325415966,0.9735,1.061,-0.0876,-4.3032
OMN,3544,0.3041004593192594,0.2981,0.3179,-0.0198,-3.2132
OMN,4554,0.19515008096091196,0.1922,0.2009,-0.0087,-2.2107
OMN,55plus,0.36577904285600277,0.3332,0.4172,-0.0841,-11.2043
PAK,1519,3.659051485305963e-05,0.0,0.0,-0.0,-2.4601
PAK,2024,1.1882751989013174,1.5777,0.7811,0.7966,33.7705
PAK,2534,0.8737298305858493,1.1863,0.5464,0.64,36.9343
PAK,3544,0.2793249777898569,0.3959,0.1595,0.2364,42.5574
PAK,4554,0.13073351956981413,0.1824,0.0788,0.1036,39.6442
PAK,55plus,0.20869360223996333,0.2886,0.1317,0.1568,37.3191
PAN,1519,0.002709395642208049,0.0027,0.0028,-0.0001,-2.1193
PAN,2024,2.155963813190604,2.0943,2.22,-0.1257,-2.9139
PAN,2534,1.8255052698822916,2.0738,1.5717,0.5021,13.7737
