country_code,bucket,pop_male,pop_female
CYP,2024,37960.0,36411.0
CYP,2534,104053.0,96692.0
CYP,3544,134969.0,119106.0
CYP,4554,94402.0,97709.0
CYP,55plus,75872.0,80279.0
CZE,2024,271699.0,260000.0
CZE,2534,601844.0,565834.0
CZE,3544,748684.0,699395.0
CZE,4554,886819.0,841210.0
CZE,55plus,649612.0,648746.0
DEU,2024,2084525.0,1950436.0
DEU,2534,4984372.0,4580196.0
DEU,3544,5511583.0,5285695.0
DEU,4554,5060644.0,5041698.0
DEU,55plus,6503530.0,6562654.0
DJI,2024,58557.0,58138.0
DJI,2534,96653.0,97122.0
DJI,3544,76700.0,78524.0
DJI,4554,60738.0,64166.0
DJI,55plus,37555.0,41340.0
DMA,2024,2164.0,2184.0
DMA,2534,5167.0,5093.0
DMA,3544,4963.0,4876.0
DMA,4554,4183.0,3999.0
DMA,55plus,4343.0,4264.0
DNK,2024,188497.0,181669.0
DNK,2534,413938.0,398620.0
DNK,3544,359179.0,349786.0
DNK,4554,378753.0,380507.0
DNK,55plus,394472.0,395944.0
DOM,2024,489525.0,472116.0
DOM,2534,918855.0,898684.0
DOM,3544,774906.0,774927.0
DOM,4554,622262.0,641165.0
DOM,55plus,470565.0,514069.0
DZA,2024,1518850.0,1460841.0
DZA,2534,3276483.0,3091191.0
DZA,3544,3751934.0,3549669.0
DZA,4554,2902978.0,2760633.0
DZA,55plus,1966482.0,1885826.0
EAP,2024,71270080.0,63988052.0
EAP,2534,153632015.0,140034441.0
EAP,3544,169687559.0,160493021.0
EAP,4554,149507175.0,147245476.0
EAP,55plus,137732515.0,142688670.0
EAR,2024,159219177.0,150977948.0
EAR,2534,296666118.0,282718734.0
EAR,3544,258237192.0,248282748.0
EAR,4554,194029347.0,190991792.0
EAR,55plus,136160359.0,139956758.0
EAS,2024,77944203.0,70242826.0
EAS,2534,168617742.0,154099979.0
EAS,3544,185540786.0,176045103.0
EAS,4554,167684179.0,165504726.0
EAS,55plus,154667483.0,159844485.0
ECA,2024,8306693.0,8013515.0
ECA,2534,18487424.0,18011242.0
ECA,3544,19068870.0,18890054.0
ECA,4554,15239796.0,16018839.0
ECA,55plus,12489387.0,14033731.0
ECS,2024,26845391.0,25636529.0
ECS,2534,58464097.0,56210837.0
ECS,3544,65936801.0,65496788.0
ECS,4554,61202916.0,63103299.0
ECS,55plus,56154854.0,61412388.0
ECU,2024,789221.0,762816.0
ECU,2534,1530768.0,1503416.0
ECU,3544,1310527.0,1311486.0
ECU,4554,1012585.0,1038963.0
ECU,55plus,726332.0,772992.0
EGY,2024,5042469.0,4848741.0
EGY,2534,9084764.0,8691107.0
EGY,3544,8140037.0,7945153.0
EGY,4554,5975901.0,5797744.0
EGY,55plus,4054198.0,4160093.0
EMU,2024,9748176.0,9215904.0
EMU,2534,20411420.0,19380005.0
EMU,3544,22213753.0,21968169.0
EMU,4554,23895179.0,23980510.0
EMU,55plus,24789272.0,25789284.0
