country_code,bucket,tiktok_male,tiktok_female,pop_male,pop_female,pen_male,pen_female,gap_abs,gap_pct,tt_fm,pop_fm,relative_gap
EGY,2534,30146500.0,18557000.0,9084764.0,8691107.0,3.3184,2.1352,1.1832,21.6958,0.6156,0.9567,0.6435
EGY,3544,14069500.0,10531500.0,8140037.0,7945153.0,1.7284,1.3255,0.4029,13.1929,0.7485,0.9761,0.7668
EGY,4554,4051000.0,4029000.0,5975901.0,5797744.0,0.6779,0.6949,-0.017,-1.241,0.9946,0.9702,1.0251
EGY,55plus,9394000.0,2822500.0,4054198.0,4160093.0,2.3171,0.6785,1.6386,54.7018,0.3005,1.0261,0.2929
ESP,1519,500.0,500.0,1338690.0,1264568.0,0.0004,0.0004,-0.0,-2.8473,1.0,0.9446,1.0586
ESP,2024,1856000.0,1996000.0,1316716.0,1245750.0,1.4096,1.6022,-0.1927,-6.3975,1.0754,0.9461,1.1367
ESP,2534,2372500.0,2570500.0,2621150.0,2535200.0,0.9051,1.0139,-0.1088,-5.6688,1.0835,0.9672,1.1202
ESP,3544,1554000.0,2381500.0,3162322.0,3133224.0,0.4914,0.7601,-0.2687,-21.4679,1.5325,0.9908,1.5467
ESP,4554,1496000.0,2445000.0,4020627.0,3927757.0,0.3721,0.6225,-0.2504,-25.1778,1.6344,0.9769,1.673
ESP,55plus,1276000.0,2431500.0,3536348.0,3649198.0,0.3608,0.6663,-0.3055,-29.7416,1.9056,1.0319,1.8467
FIN,1519,500.0,500.0,163985.0,156884.0,0.003,0.0032,-0.0001,-2.2131,1.0,0.9567,1.0453
FIN,2024,220500.0,320500.0,161454.0,153381.0,1.3657,2.0896,-0.7239,-20.9492,1.4535,0.95,1.53
FIN,2534,244000.0,307500.0,355432.0,333025.0,0.6865,0.9234,-0.2369,-14.7136,1.2602,0.937,1.3449
FIN,3544,107500.0,137500.0,377436.0,352895.0,0.2848,0.3896,-0.1048,-15.5412,1.2791,0.935,1.368
FIN,4554,76000.0,107000.0,342108.0,327799.0,0.2222,0.3264,-0.1043,-19.0071,1.4079,0.9582,1.4693
FIN,55plus,65000.0,88000.0,354460.0,358713.0,0.1834,0.2453,-0.0619,-14.4493,1.3538,1.012,1.3377
FRA,1519,500.0,500.0,2187697.0,2084524.0,0.0002,0.0002,-0.0,-2.415,1.0,0.9528,1.0495
