bucket,rank_gap,country_code,gap_pct,pen_total
2024,48,GRC,19.92094539526212,927.4839728310407
2024,49,JPN,19.85135829355846,77.01269617354316
2024,50,DEU,19.425279173800615,115.54498296266061
2024,51,LBN,18.43095342487297,996.3776321120264
2024,52,KWT,18.100538068442177,1879.1903931822583
2024,53,SAU,10.406930490483612,180.93448676538634
2024,54,BHR,1.001279758830207,4375.753350724116
2024,55,ARE,0.6326274194377522,529.5700973241308
2024,56,OMN,-8.517561655083764,1085.863628084139
2024,57,QAT,-12.756861988198825,3063.8754290329093
2534,1,BGD,29.25806604865713,21.817869205310856
2534,2,LBN,24.685603639854055,820.1739817910172
2534,3,KEN,23.20255642918421,72.54088453449566
2534,4,AZE,22.600296467104457,409.0931314782591
2534,5,BRA,21.997425181736247,19.881807457900795
2534,6,PRI,21.87933582286216,1618.88091886326
